Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites
1,,468034.62,4313287.611,2426.125,,-105.3689836,38.96797622,2412.105,Global,0.012,0.011,0.012,0.016,2.134,m,FIX,2024-04-25 10:36:13.0 UTC-06:00,2024-04-25 10:36:16.0 UTC-06:00,16,1.6,1.9,468221.158,4313237.027,2433.525,-105.366828,38.96752719,2419.5,193.501,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,5,3,0
2,,468034.427,4313287.709,2426.081,,-105.3689858,38.9679771,2412.062,Global,0.011,0.011,0.011,0.015,2.134,m,FIX,2024-04-25 10:36:38.4 UTC-06:00,2024-04-25 10:36:41.4 UTC-06:00,16,1.6,1.9,468221.158,4313237.027,2433.525,-105.366828,38.96752719,2419.5,193.712,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,5,3,0
3,,468034.465,4313287.285,2426.054,,-105.3689854,38.96797328,2412.034,Global,0.011,0.01,0.015,0.015,2.134,m,FIX,2024-04-25 10:38:57.2 UTC-06:00,2024-04-25 10:39:00.2 UTC-06:00,16,1.7,1.9,468221.158,4313237.027,2433.525,-105.366828,38.96752719,2419.5,193.568,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,5,4,0
4,,468034.775,4313287.408,2426.078,,-105.3689818,38.96797441,2412.058,Global,0.01,0.013,0.011,0.016,2.134,m,FIX,2024-04-25 10:39:17.4 UTC-06:00,2024-04-25 10:39:20.4 UTC-06:00,16,1.7,1.9,468221.158,4313237.027,2433.525,-105.366828,38.96752719,2419.5,193.293,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,4,5,0
5,,468034.61,4313287.514,2426.146,,-105.3689837,38.96797535,2412.127,Global,0.01,0.01,0.011,0.015,2.134,m,FIX,2024-04-25 10:39:34.6 UTC-06:00,2024-04-25 10:39:37.6 UTC-06:00,16,1.7,1.9,468221.158,4313237.027,2433.525,-105.366828,38.96752719,2419.5,193.48,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,4,5,0
6,,468034.734,4313287.729,2426.042,,-105.3689823,38.96797729,2412.023,Global,0.01,0.011,0.011,0.015,2.134,m,FIX,2024-04-25 10:39:53.0 UTC-06:00,2024-04-25 10:39:56.0 UTC-06:00,16,1.7,1.9,468221.158,4313237.027,2433.525,-105.366828,38.96752719,2419.5,193.42,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,4,5,0
7,,468034.792,4313287.917,2425.973,,-105.3689816,38.96797899,2411.953,Global,0.011,0.011,0.012,0.015,2.134,m,FIX,2024-04-25 10:40:15.0 UTC-06:00,2024-04-25 10:40:18.0 UTC-06:00,16,1.7,1.9,468221.158,4313237.027,2433.525,-105.366828,38.96752719,2419.5,193.416,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,4,5,0
8,,468034.86,4313288.111,2425.811,,-105.3689808,38.96798074,2411.791,Global,0.011,0.011,0.011,0.016,2.134,m,FIX,2024-04-25 10:40:30.8 UTC-06:00,2024-04-25 10:40:33.8 UTC-06:00,16,1.7,1.9,468221.158,4313237.027,2433.525,-105.366828,38.96752719,2419.5,193.398,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,4,5,0
9,,468034.9,4313288.262,2425.76,,-105.3689804,38.96798211,2411.74,Global,0.011,0.011,0.011,0.016,2.134,m,FIX,2024-04-25 10:40:41.0 UTC-06:00,2024-04-25 10:40:44.0 UTC-06:00,16,1.7,1.9,468221.158,4313237.027,2433.525,-105.366828,38.96752719,2419.5,193.4,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,3,4,0
10,,468034.98,4313288.479,2425.67,,-105.3689795,38.96798406,2411.651,Global,0.011,0.011,0.01,0.016,2.134,m,FIX,2024-04-25 10:40:54.2 UTC-06:00,2024-04-25 10:40:57.2 UTC-06:00,16,1.7,1.9,468221.158,4313237.027,2433.525,-105.366828,38.96752719,2419.5,193.39,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,4,5,0
11,,468035.045,4313288.676,2425.374,,-105.3689787,38.96798584,2411.355,Global,0.01,0.011,0.011,0.015,2.134,m,FIX,2024-04-25 10:41:09.0 UTC-06:00,2024-04-25 10:41:12.0 UTC-06:00,16,1.7,1.9,468221.158,4313237.027,2433.525,-105.366828,38.96752719,2419.5,193.388,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,5,4,5,0
12,,468035.085,4313288.884,2425.195,,-105.3689783,38.96798771,2411.175,Global,0.011,0.012,0.011,0.016,2.134,m,FIX,2024-04-25 10:41:23.0 UTC-06:00,2024-04-25 10:41:26.0 UTC-06:00,16,1.7,1.9,468221.158,4313237.027,2433.525,-105.366828,38.96752719,2419.5,193.411,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,3,5,0
13,,468035.25,4313289.08,2425.688,,-105.3689764,38.96798949,2411.669,Global,0.011,0.01,0.016,0.015,2.134,m,FIX,2024-04-25 10:41:44.8 UTC-06:00,2024-04-25 10:41:47.8 UTC-06:00,16,1.7,1.9,468221.158,4313237.027,2433.525,-105.366828,38.96752719,2419.5,193.296,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,4,4,0
14,,468035.361,4313289.281,2425.731,,-105.3689751,38.9679913,2411.712,Global,0.013,0.01,0.013,0.017,2.134,m,FIX,2024-04-25 10:41:59.8 UTC-06:00,2024-04-25 10:42:02.8 UTC-06:00,16,1.7,1.9,468221.158,4313237.027,2433.525,-105.366828,38.96752719,2419.5,193.235,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,4,5,0
15,,468035.391,4313289.459,2425.807,,-105.3689748,38.96799291,2411.788,Global,0.01,0.011,0.012,0.015,2.134,m,FIX,2024-04-25 10:42:17.2 UTC-06:00,2024-04-25 10:42:20.2 UTC-06:00,16,1.7,1.9,468221.158,4313237.027,2433.525,-105.366828,38.96752719,2419.5,193.254,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,4,5,0
16,,468035.482,4313289.639,2425.99,,-105.3689737,38.96799453,2411.97,Global,0.012,0.015,0.017,0.02,2.134,m,FIX,2024-04-25 10:42:29.8 UTC-06:00,2024-04-25 10:42:32.8 UTC-06:00,16,1.7,1.9,468221.158,4313237.027,2433.525,-105.366828,38.96752719,2419.5,193.215,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,4,5,0
17,,468035.565,4313289.878,2425.514,,-105.3689728,38.96799669,2411.494,Global,0.011,0.011,0.017,0.016,2.134,m,FIX,2024-04-25 10:42:43.2 UTC-06:00,2024-04-25 10:42:46.2 UTC-06:00,16,1.7,1.9,468221.158,4313237.027,2433.525,-105.366828,38.96752719,2419.5,193.214,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,4,5,0
18,,468035.688,4313290.033,2425.693,,-105.3689714,38.96799809,2411.674,Global,0.015,0.012,0.02,0.019,2.134,m,FIX,2024-04-25 10:42:54.4 UTC-06:00,2024-04-25 10:42:57.4 UTC-06:00,16,1.7,1.9,468221.158,4313237.027,2433.525,-105.366828,38.96752719,2419.5,193.137,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,4,4,0
19,,468035.703,4313290.17,2425.645,,-105.3689712,38.96799932,2411.626,Global,0.011,0.01,0.018,0.015,2.134,m,FIX,2024-04-25 10:43:13.4 UTC-06:00,2024-04-25 10:43:16.4 UTC-06:00,16,1.7,2,468221.158,4313237.027,2433.525,-105.366828,38.96752719,2419.5,193.152,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,4,5,0
20,,468035.736,4313290.384,2425.422,,-105.3689708,38.96800125,2411.402,Global,0.011,0.011,0.019,0.015,2.134,m,FIX,2024-04-25 10:43:22.8 UTC-06:00,2024-04-25 10:43:25.8 UTC-06:00,16,1.7,2,468221.158,4313237.027,2433.525,-105.366828,38.96752719,2419.5,193.19,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,4,4,0
21,,468035.784,4313290.58,2425.351,,-105.3689703,38.96800302,2411.332,Global,0.011,0.012,0.014,0.017,2.134,m,FIX,2024-04-25 10:43:52.6 UTC-06:00,2024-04-25 10:43:55.6 UTC-06:00,16,1.7,2,468221.158,4313237.027,2433.525,-105.366828,38.96752719,2419.5,193.198,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,4,4,0
22,,468035.892,4313290.785,2425.24,,-105.3689691,38.96800488,2411.221,Global,0.011,0.012,0.013,0.017,2.134,m,FIX,2024-04-25 10:44:09.2 UTC-06:00,2024-04-25 10:44:12.2 UTC-06:00,16,1.7,2,468221.158,4313237.027,2433.525,-105.366828,38.96752719,2419.5,193.159,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,4,5,0
