Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites
1,,468296.136,4313308.643,2423.802,,-105.3659659,38.96817526,2409.777,Global,0.01,0.011,0.011,0.015,2.134,m,FIX,2024-04-28 11:52:13.0 UTC-06:00,2024-04-28 11:52:16.0 UTC-06:00,16,1.3,1.5,468219.361,4313236.646,2434.969,-105.3668488,38.9675237,2420.945,105.72,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,5,4,0
2,,468295.935,4313308.541,2423.739,,-105.3659682,38.96817433,2409.714,Global,0.01,0.01,0.012,0.014,2.134,m,FIX,2024-04-28 11:52:25.6 UTC-06:00,2024-04-28 11:52:28.6 UTC-06:00,16,1.3,1.5,468219.361,4313236.646,2434.969,-105.3668488,38.9675237,2420.945,105.514,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,5,4,0
3,,468296.262,4313308.327,2423.842,,-105.3659644,38.96817242,2409.816,Global,0.011,0.01,0.011,0.015,2.134,m,FIX,2024-04-28 11:52:39.0 UTC-06:00,2024-04-28 11:52:42.0 UTC-06:00,16,1.3,1.5,468219.361,4313236.646,2434.969,-105.3668488,38.9675237,2420.945,105.586,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,9,6,5,4,0
4,,468296.388,4313308.7,2423.747,,-105.365963,38.96817578,2409.721,Global,0.01,0.01,0.013,0.014,2.134,m,FIX,2024-04-28 11:52:55.4 UTC-06:00,2024-04-28 11:52:58.4 UTC-06:00,16,1.2,1.4,468219.361,4313236.646,2434.969,-105.3668488,38.9675237,2420.945,105.947,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,9,6,4,4,0
5,,468296.129,4313308.647,2423.799,,-105.365966,38.9681753,2409.774,Global,0.011,0.01,0.011,0.015,2.134,m,FIX,2024-04-28 11:53:08.6 UTC-06:00,2024-04-28 11:53:11.6 UTC-06:00,16,1.3,1.5,468219.361,4313236.646,2434.969,-105.3668488,38.9675237,2420.945,105.712,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,9,6,5,4,0
6,,468296.042,4313308.825,2423.75,,-105.365967,38.96817689,2409.725,Global,0.012,0.011,0.011,0.016,2.134,m,FIX,2024-04-28 11:53:27.4 UTC-06:00,2024-04-28 11:53:30.4 UTC-06:00,16,1.3,1.5,468219.361,4313236.646,2434.969,-105.3668488,38.9675237,2420.945,105.787,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,9,6,5,4,0
7,,468295.984,4313309.012,2423.748,,-105.3659677,38.96817857,2409.723,Global,0.011,0.01,0.015,0.015,2.134,m,FIX,2024-04-28 11:53:41.6 UTC-06:00,2024-04-28 11:53:44.6 UTC-06:00,16,1.3,1.5,468219.361,4313236.646,2434.969,-105.3668488,38.9675237,2420.945,105.865,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,9,6,5,4,0
8,,468295.916,4313309.204,2423.697,,-105.3659685,38.9681803,2409.672,Global,0.013,0.01,0.015,0.016,2.134,m,FIX,2024-04-28 11:53:54.8 UTC-06:00,2024-04-28 11:53:57.8 UTC-06:00,16,1.3,1.5,468219.361,4313236.646,2434.969,-105.3668488,38.9675237,2420.945,105.945,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,9,6,5,4,0
9,,468295.837,4313309.404,2423.657,,-105.3659694,38.96818211,2409.632,Global,0.012,0.01,0.011,0.016,2.134,m,FIX,2024-04-28 11:54:07.2 UTC-06:00,2024-04-28 11:54:10.2 UTC-06:00,16,1.3,1.5,468219.361,4313236.646,2434.969,-105.3668488,38.9675237,2420.945,106.04,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,9,6,5,4,0
10,,468295.75,4313309.581,2423.673,,-105.3659704,38.96818369,2409.648,Global,0.011,0.011,0.012,0.015,2.134,m,FIX,2024-04-28 11:54:20.2 UTC-06:00,2024-04-28 11:54:23.2 UTC-06:00,16,1.4,1.7,468219.361,4313236.646,2434.969,-105.3668488,38.9675237,2420.945,106.091,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,9,6,5,4,0
