Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
17,,466250.158,4312192.379,2455.028,,-105.38952755,38.95803992,2441.037,Global,0.011,0.014,0.012,0.017,2.134,m,FIX,2024-04-24 15:25:46.2 UTC-06:00,2024-04-24 15:25:49.2 UTC-06:00,16,1.2,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,148.987,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
18,,466250.125,4312192.451,2454.856,,-105.38952794,38.95804057,2440.865,Global,0.010,0.010,0.015,0.015,2.134,m,FIX,2024-04-24 15:26:06.4 UTC-06:00,2024-04-24 15:26:09.4 UTC-06:00,16,1.2,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,149.074,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
19,,466249.986,4312192.604,2454.785,,-105.38952955,38.95804194,2440.794,Global,0.011,0.011,0.018,0.015,2.134,m,FIX,2024-04-24 15:27:06.6 UTC-06:00,2024-04-24 15:27:09.6 UTC-06:00,16,1.2,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,149.216,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
20,,466249.858,4312192.792,2454.749,,-105.38953104,38.95804363,2440.759,Global,0.012,0.011,0.026,0.016,2.134,m,FIX,2024-04-24 15:27:23.2 UTC-06:00,2024-04-24 15:27:26.2 UTC-06:00,16,1.2,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,149.384,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
21,,466249.706,4312192.905,2454.729,,-105.38953279,38.95804465,2440.738,Global,0.011,0.010,0.024,0.015,2.134,m,FIX,2024-04-24 15:27:48.8 UTC-06:00,2024-04-24 15:27:51.8 UTC-06:00,16,1.2,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,149.484,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
22,,466249.604,4312193.041,2454.738,,-105.38953398,38.95804587,2440.747,Global,0.011,0.010,0.030,0.015,2.134,m,FIX,2024-04-24 15:28:04.6 UTC-06:00,2024-04-24 15:28:07.6 UTC-06:00,16,1.1,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,149.609,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
23,,466249.459,4312193.176,2454.685,,-105.38953566,38.95804708,2440.694,Global,0.010,0.010,0.019,0.014,2.134,m,FIX,2024-04-24 15:28:27.6 UTC-06:00,2024-04-24 15:28:30.6 UTC-06:00,16,1.2,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,149.722,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
24,,466249.325,4312193.324,2454.747,,-105.38953722,38.95804841,2440.756,Global,0.011,0.010,0.010,0.015,2.134,m,FIX,2024-04-24 15:28:47.0 UTC-06:00,2024-04-24 15:28:50.0 UTC-06:00,16,1.2,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,149.842,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
25,,466249.196,4312193.484,2454.714,,-105.38953871,38.95804985,2440.724,Global,0.010,0.010,0.012,0.015,2.134,m,FIX,2024-04-24 15:29:06.0 UTC-06:00,2024-04-24 15:29:09.0 UTC-06:00,16,1.2,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,149.989,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
26,,466249.026,4312193.594,2454.699,,-105.38954068,38.95805083,2440.708,Global,0.010,0.010,0.011,0.014,2.134,m,FIX,2024-04-24 15:29:23.8 UTC-06:00,2024-04-24 15:29:26.8 UTC-06:00,16,1.2,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,150.078,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
27,,466248.935,4312193.761,2454.688,,-105.38954174,38.95805233,2440.697,Global,0.010,0.010,0.012,0.015,2.134,m,FIX,2024-04-24 15:29:43.4 UTC-06:00,2024-04-24 15:29:46.4 UTC-06:00,16,1.2,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,150.236,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
28,,466248.785,4312193.937,2454.708,,-105.38954347,38.95805391,2440.718,Global,0.010,0.010,0.012,0.015,2.134,m,FIX,2024-04-24 15:30:01.2 UTC-06:00,2024-04-24 15:30:04.2 UTC-06:00,16,1.2,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,150.390,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
29,,466248.654,4312194.060,2454.686,,-105.38954499,38.95805502,2440.696,Global,0.010,0.011,0.013,0.015,2.134,m,FIX,2024-04-24 15:30:17.6 UTC-06:00,2024-04-24 15:30:20.6 UTC-06:00,16,1.2,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,150.495,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
30,,466248.511,4312194.241,2454.685,,-105.38954665,38.95805664,2440.695,Global,0.010,0.010,0.012,0.015,2.134,m,FIX,2024-04-24 15:30:34.6 UTC-06:00,2024-04-24 15:30:37.6 UTC-06:00,16,1.2,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,150.651,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
31,,466248.375,4312194.382,2454.675,,-105.38954823,38.95805791,2440.684,Global,0.010,0.010,0.011,0.014,2.134,m,FIX,2024-04-24 15:30:51.4 UTC-06:00,2024-04-24 15:30:54.4 UTC-06:00,16,1.1,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,150.783,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
32,,466248.248,4312194.529,2454.661,,-105.38954970,38.95805922,2440.670,Global,0.010,0.010,0.011,0.014,2.134,m,FIX,2024-04-24 15:31:13.6 UTC-06:00,2024-04-24 15:31:16.6 UTC-06:00,16,1.1,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,150.913,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
33,,466248.115,4312194.672,2454.645,,-105.38955124,38.95806051,2440.654,Global,0.011,0.010,0.011,0.015,2.134,m,FIX,2024-04-24 15:31:30.2 UTC-06:00,2024-04-24 15:31:33.2 UTC-06:00,16,1.2,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,151.041,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
34,,466247.989,4312194.824,2454.627,,-105.38955270,38.95806187,2440.637,Global,0.011,0.010,0.011,0.015,2.134,m,FIX,2024-04-24 15:31:48.0 UTC-06:00,2024-04-24 15:31:51.0 UTC-06:00,16,1.2,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,151.182,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
