Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites
1,,468034.749,4313288.070,2429.035,,-105.36898212,38.96798037,2415.016,Global,0.012,0.012,0.012,0.017,2.134,m,FIX,2024-08-05 12:40:46.6 UTC-06:00,2024-08-05 12:41:16.6 UTC-06:00,151,1.7,2.1,468407.270,4313300.281,2430.913,-105.36468267,38.96810392,2416.886,372.997,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,5,5,0
2,,468034.735,4313288.078,2429.044,,-105.36898228,38.96798044,2415.025,Global,0.010,0.012,0.010,0.016,2.134,m,FIX,2024-08-05 12:42:56.0 UTC-06:00,2024-08-05 12:42:59.0 UTC-06:00,16,1.7,2.1,468407.270,4313300.281,2430.913,-105.36468267,38.96810392,2416.886,373.020,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,6,5,4,0
3,,468034.544,4313288.155,2429.004,,-105.36898449,38.96798113,2414.985,Global,0.010,0.011,0.010,0.015,2.134,m,FIX,2024-08-05 12:43:29.0 UTC-06:00,2024-08-05 12:43:32.0 UTC-06:00,16,1.7,2.1,468407.270,4313300.281,2430.913,-105.36468267,38.96810392,2416.886,373.211,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,5,5,0
4,,468034.804,4313288.358,2428.940,,-105.36898150,38.96798297,2414.920,Global,0.011,0.012,0.010,0.016,2.134,m,FIX,2024-08-05 12:43:41.2 UTC-06:00,2024-08-05 12:43:44.2 UTC-06:00,16,1.7,2.1,468407.270,4313300.281,2430.913,-105.36468267,38.96810392,2416.886,372.938,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,5,4,0
5,,468034.954,4313288.030,2428.960,,-105.36897975,38.96798002,2414.940,Global,0.010,0.014,0.010,0.017,2.134,m,FIX,2024-08-05 12:44:01.2 UTC-06:00,2024-08-05 12:44:04.2 UTC-06:00,16,1.7,2.1,468407.270,4313300.281,2430.913,-105.36468267,38.96810392,2416.886,372.803,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,6,5,5,0
6,,468034.609,4313287.868,2429.004,,-105.36898373,38.96797854,2414.985,Global,0.011,0.010,0.010,0.015,2.134,m,FIX,2024-08-05 12:44:18.6 UTC-06:00,2024-08-05 12:44:21.6 UTC-06:00,16,1.7,2.1,468407.270,4313300.281,2430.913,-105.36468267,38.96810392,2416.886,373.149,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,5,5,0
7,,468034.759,4313288.050,2428.989,,-105.36898200,38.96798019,2414.970,Global,0.011,0.010,0.010,0.015,2.134,m,FIX,2024-08-05 12:44:35.8 UTC-06:00,2024-08-05 12:44:38.8 UTC-06:00,16,1.8,2.1,468407.270,4313300.281,2430.913,-105.36468267,38.96810392,2416.886,372.995,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,5,5,0
8,,468034.760,4313288.072,2429.027,,-105.36898200,38.96798039,2415.007,Global,0.014,0.012,0.011,0.019,2.134,m,FIX,2024-08-05 12:44:54.0 UTC-06:00,2024-08-05 12:44:57.0 UTC-06:00,16,1.8,2.1,468407.270,4313300.281,2430.913,-105.36468267,38.96810392,2416.886,372.996,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,6,5,5,0
9,,468034.848,4313288.388,2428.940,,-105.36898099,38.96798324,2414.920,Global,0.010,0.014,0.011,0.017,2.134,m,FIX,2024-08-05 12:45:18.8 UTC-06:00,2024-08-05 12:45:21.8 UTC-06:00,16,1.8,2.1,468407.270,4313300.281,2430.913,-105.36468267,38.96810392,2416.886,372.900,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,5,5,0
10,,468034.898,4313288.551,2428.866,,-105.36898042,38.96798470,2414.846,Global,0.016,0.014,0.011,0.022,2.134,m,FIX,2024-08-05 12:45:42.4 UTC-06:00,2024-08-05 12:45:45.4 UTC-06:00,16,1.8,2.1,468407.270,4313300.281,2430.913,-105.36468267,38.96810392,2416.886,372.838,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,6,5,5,0
