,index,Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,northing_adj,easting_adj,elevation_adj,geometry
110,110,111,,466220.399,4311871.067,2456.013,,-105.3898552,38.95514337,2442.019,Global,0.01,0.011,0.011,0.015,2.134,m,FIX,2024-07-22 13:50:18.6 UTC-06:00,2024-07-22 13:50:21.6 UTC-06:00,16,1.2,1.5,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,174.982,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,6,6,5,0,4311870.485,466222.06399999995,2454.015,POINT Z (466222.06399999995 4311870.485 2454.015)
111,111,112,,466220.169,4311870.979,2456.129,,-105.3898578,38.95514256,2442.136,Global,0.011,0.011,0.01,0.015,2.134,m,FIX,2024-07-22 13:50:36.6 UTC-06:00,2024-07-22 13:50:39.6 UTC-06:00,16,1.3,1.6,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.078,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,6,6,5,0,4311870.397000001,466221.834,2454.131,POINT Z (466221.834 4311870.397000001 2454.131)
112,112,113,,466219.971,4311870.955,2456.024,,-105.3898601,38.95514234,2442.03,Global,0.013,0.011,0.01,0.017,2.134,m,FIX,2024-07-22 13:50:47.6 UTC-06:00,2024-07-22 13:50:50.6 UTC-06:00,16,1.3,1.5,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.128,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,6,6,5,0,4311870.373000001,466221.636,2454.026,POINT Z (466221.636 4311870.373000001 2454.026)
113,113,114,,466219.787,4311870.985,2456.055,,-105.3898622,38.9551426,2442.062,Global,0.011,0.01,0.01,0.015,2.134,m,FIX,2024-07-22 13:50:58.6 UTC-06:00,2024-07-22 13:51:01.6 UTC-06:00,16,1.3,1.6,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.109,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,6,6,5,0,4311870.403000001,466221.452,2454.057,POINT Z (466221.452 4311870.403000001 2454.057)
114,114,115,,466219.568,4311870.963,2456.106,,-105.3898647,38.95514239,2442.113,Global,0.01,0.01,0.011,0.014,2.134,m,FIX,2024-07-22 13:51:12.0 UTC-06:00,2024-07-22 13:51:15.0 UTC-06:00,16,1.5,1.8,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.133,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,6,6,5,0,4311870.381000001,466221.233,2454.108,POINT Z (466221.233 4311870.381000001 2454.108)
115,115,116,,466219.367,4311871.039,2456.006,,-105.3898671,38.95514307,2442.012,Global,0.012,0.01,0.01,0.016,2.134,m,FIX,2024-07-22 13:51:25.4 UTC-06:00,2024-07-22 13:51:28.4 UTC-06:00,16,1.4,1.6,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.075,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,6,6,5,0,4311870.457,466221.032,2454.008,POINT Z (466221.032 4311870.457 2454.008)
116,116,117,,466219.119,4311871.117,2455.964,,-105.3898699,38.95514376,2441.97,Global,0.011,0.012,0.01,0.016,2.134,m,FIX,2024-07-22 13:51:46.2 UTC-06:00,2024-07-22 13:51:49.2 UTC-06:00,16,1.4,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.01,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,6,5,5,0,4311870.535,466220.784,2453.966,POINT Z (466220.784 4311870.535 2453.966)
117,117,118,,466218.981,4311871.103,2456.334,,-105.3898715,38.95514363,2442.34,Global,0.01,0.011,0.01,0.015,2.134,m,FIX,2024-07-22 13:51:56.6 UTC-06:00,2024-07-22 13:51:59.6 UTC-06:00,16,1.4,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.014,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,6,5,5,0,4311870.521000001,466220.646,2454.336,POINT Z (466220.646 4311870.521000001 2454.336)
118,118,119,,466218.788,4311871.097,2456.439,,-105.3898737,38.95514357,2442.446,Global,0.011,0.013,0.011,0.017,2.134,m,FIX,2024-07-22 13:52:10.4 UTC-06:00,2024-07-22 13:52:13.4 UTC-06:00,16,1.4,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.021,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,6,5,5,0,4311870.515000001,466220.453,2454.441,POINT Z (466220.453 4311870.515000001 2454.441)
119,119,120,,466218.592,4311871.145,2456.309,,-105.389876,38.955144,2442.316,Global,0.011,0.011,0.01,0.015,2.134,m,FIX,2024-07-22 13:52:23.0 UTC-06:00,2024-07-22 13:52:26.0 UTC-06:00,16,1.4,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.01,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,6,5,5,0,4311870.563,466220.257,2454.311,POINT Z (466220.257 4311870.563 2454.311)
120,120,121,,466218.392,4311871.159,2456.126,,-105.3898783,38.95514412,2442.133,Global,0.011,0.012,0.012,0.017,2.134,m,FIX,2024-07-22 13:52:34.2 UTC-06:00,2024-07-22 13:52:37.2 UTC-06:00,16,1.4,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.002,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,6,5,5,0,4311870.5770000005,466220.057,2454.128,POINT Z (466220.057 4311870.5770000005 2454.128)
121,121,122,,466218.177,4311871.129,2456.36,,-105.3898808,38.95514384,2442.367,Global,0.011,0.01,0.013,0.015,2.134,m,FIX,2024-07-22 13:52:51.8 UTC-06:00,2024-07-22 13:52:54.8 UTC-06:00,16,1.4,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.039,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,6,6,5,0,4311870.547,466219.842,2454.362,POINT Z (466219.842 4311870.547 2454.362)
122,122,123,,466217.997,4311871.148,2456.385,,-105.3898829,38.955144,2442.391,Global,0.011,0.013,0.01,0.017,2.134,m,FIX,2024-07-22 13:53:04.6 UTC-06:00,2024-07-22 13:53:07.6 UTC-06:00,16,1.4,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.036,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,6,5,5,0,4311870.566000001,466219.66199999995,2454.387,POINT Z (466219.66199999995 4311870.566000001 2454.387)
123,123,124,,466217.746,4311871.125,2456.394,,-105.3898858,38.95514379,2442.4,Global,0.014,0.011,0.011,0.018,2.134,m,FIX,2024-07-22 13:53:20.6 UTC-06:00,2024-07-22 13:53:23.6 UTC-06:00,16,1.4,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.071,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,6,5,5,0,4311870.5430000005,466219.41099999996,2454.3959999999997,POINT Z (466219.41099999996 4311870.5430000005 2454.3959999999997)
124,124,125,,466217.583,4311871.156,2456.344,,-105.3898877,38.95514406,2442.351,Global,0.01,0.01,0.01,0.015,2.134,m,FIX,2024-07-22 13:53:37.4 UTC-06:00,2024-07-22 13:53:40.4 UTC-06:00,16,1.4,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.057,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,6,6,5,0,4311870.574000001,466219.24799999996,2454.346,POINT Z (466219.24799999996 4311870.574000001 2454.346)
125,125,126,,466217.41,4311871.208,2456.115,,-105.3898897,38.95514452,2442.122,Global,0.01,0.01,0.011,0.014,2.134,m,FIX,2024-07-22 13:53:51.0 UTC-06:00,2024-07-22 13:53:54.0 UTC-06:00,16,1.4,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.03,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,6,6,5,0,4311870.626,466219.07499999995,2454.1169999999997,POINT Z (466219.07499999995 4311870.626 2454.1169999999997)
126,126,127,,466217.196,4311871.167,2456.047,,-105.3898921,38.95514414,2442.053,Global,0.011,0.01,0.012,0.015,2.134,m,FIX,2024-07-22 13:54:00.8 UTC-06:00,2024-07-22 13:54:03.8 UTC-06:00,16,1.4,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.095,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,6,5,5,0,4311870.585000001,466218.861,2454.049,POINT Z (466218.861 4311870.585000001 2454.049)
127,127,128,,466217.022,4311871.182,2456.074,,-105.3898941,38.95514427,2442.08,Global,0.012,0.01,0.011,0.016,2.134,m,FIX,2024-07-22 13:54:14.4 UTC-06:00,2024-07-22 13:54:17.4 UTC-06:00,16,1.4,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.098,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,5,5,0,4311870.600000001,466218.687,2454.076,POINT Z (466218.687 4311870.600000001 2454.076)
128,128,129,,466216.802,4311871.181,2456.078,,-105.3898967,38.95514426,2442.085,Global,0.012,0.01,0.01,0.016,2.134,m,FIX,2024-07-22 13:54:24.8 UTC-06:00,2024-07-22 13:54:27.8 UTC-06:00,16,1.4,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.113,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,5,5,0,4311870.599,466218.467,2454.08,POINT Z (466218.467 4311870.599 2454.08)
129,129,130,,466216.589,4311871.17,2456.068,,-105.3898991,38.95514415,2442.075,Global,0.011,0.011,0.01,0.016,2.134,m,FIX,2024-07-22 13:54:35.0 UTC-06:00,2024-07-22 13:54:38.0 UTC-06:00,16,1.4,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.145,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,6,5,0,4311870.588,466218.25399999996,2454.07,POINT Z (466218.25399999996 4311870.588 2454.07)
130,130,131,,466216.398,4311871.174,2456.078,,-105.3899013,38.95514417,2442.084,Global,0.011,0.01,0.011,0.015,2.134,m,FIX,2024-07-22 13:54:45.8 UTC-06:00,2024-07-22 13:54:48.8 UTC-06:00,16,1.4,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.149,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,6,6,5,0,4311870.592,466218.06299999997,2454.08,POINT Z (466218.06299999997 4311870.592 2454.08)
131,131,132,,466216.209,4311871.193,2456.175,,-105.3899035,38.95514434,2442.181,Global,0.011,0.011,0.012,0.016,2.134,m,FIX,2024-07-22 13:54:58.0 UTC-06:00,2024-07-22 13:55:01.0 UTC-06:00,16,1.4,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.142,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,6,5,5,0,4311870.6110000005,466217.87399999995,2454.177,POINT Z (466217.87399999995 4311870.6110000005 2454.177)
132,132,133,,466216.014,4311871.219,2456.211,,-105.3899058,38.95514457,2442.217,Global,0.013,0.012,0.012,0.018,2.134,m,FIX,2024-07-22 13:55:11.8 UTC-06:00,2024-07-22 13:55:14.8 UTC-06:00,16,1.4,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.116,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,6,5,0,4311870.637,466217.679,2454.2129999999997,POINT Z (466217.679 4311870.637 2454.2129999999997)
133,133,134,,466215.773,4311871.225,2456.385,,-105.3899085,38.95514461,2442.391,Global,0.01,0.011,0.01,0.015,2.134,m,FIX,2024-07-22 13:55:45.4 UTC-06:00,2024-07-22 13:55:48.4 UTC-06:00,16,1.4,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.126,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,6,5,5,0,4311870.643,466217.43799999997,2454.387,POINT Z (466217.43799999997 4311870.643 2454.387)
134,134,135,,466215.624,4311871.221,2456.443,,-105.3899103,38.95514457,2442.45,Global,0.01,0.011,0.011,0.015,2.134,m,FIX,2024-07-22 13:56:38.0 UTC-06:00,2024-07-22 13:56:41.0 UTC-06:00,16,1.5,1.8,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.14,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,5,5,0,4311870.639,466217.289,2454.445,POINT Z (466217.289 4311870.639 2454.445)
135,135,136,,466215.406,4311871.205,2456.492,,-105.3899128,38.95514441,2442.499,Global,0.01,0.01,0.01,0.015,2.134,m,FIX,2024-07-22 13:56:57.0 UTC-06:00,2024-07-22 13:57:00.0 UTC-06:00,16,1.4,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.168,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,5,5,0,4311870.623000001,466217.071,2454.494,POINT Z (466217.071 4311870.623000001 2454.494)
136,136,137,,466215.216,4311871.187,2456.533,,-105.389915,38.95514425,2442.539,Global,0.011,0.01,0.01,0.015,2.134,m,FIX,2024-07-22 13:57:15.8 UTC-06:00,2024-07-22 13:57:18.8 UTC-06:00,16,1.4,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.195,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,6,5,0,4311870.605,466216.881,2454.535,POINT Z (466216.881 4311870.605 2454.535)
137,137,138,,466214.988,4311871.164,2456.538,,-105.3899176,38.95514403,2442.545,Global,0.012,0.01,0.01,0.015,2.134,m,FIX,2024-07-22 13:57:33.8 UTC-06:00,2024-07-22 13:57:36.8 UTC-06:00,16,1.5,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.241,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,6,5,0,4311870.582,466216.653,2454.54,POINT Z (466216.653 4311870.582 2454.54)
138,138,139,,466214.799,4311871.144,2456.546,,-105.3899198,38.95514384,2442.552,Global,0.01,0.01,0.011,0.014,2.134,m,FIX,2024-07-22 13:57:51.0 UTC-06:00,2024-07-22 13:57:54.0 UTC-06:00,16,1.5,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.276,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,6,5,0,4311870.562000001,466216.464,2454.548,POINT Z (466216.464 4311870.562000001 2454.548)
139,139,140,,466214.685,4311871.174,2456.768,,-105.3899211,38.95514411,2442.775,Global,0.01,0.01,0.013,0.014,2.134,m,FIX,2024-07-22 13:58:55.0 UTC-06:00,2024-07-22 13:58:58.0 UTC-06:00,16,1.4,1.6,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.244,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,5,5,0,4311870.592,466216.35,2454.77,POINT Z (466216.35 4311870.592 2454.77)
140,140,141,,466214.67,4311870.999,2456.595,,-105.3899213,38.95514253,2442.601,Global,0.01,0.011,0.011,0.015,2.134,m,FIX,2024-07-22 13:59:18.0 UTC-06:00,2024-07-22 13:59:21.0 UTC-06:00,16,1.4,1.6,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.435,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,6,5,5,0,4311870.417,466216.33499999996,2454.5969999999998,POINT Z (466216.33499999996 4311870.417 2454.5969999999998)
141,141,142,,466214.493,4311871.175,2456.591,,-105.3899233,38.95514411,2442.597,Global,0.011,0.01,0.011,0.015,2.134,m,FIX,2024-07-22 13:59:39.4 UTC-06:00,2024-07-22 13:59:42.4 UTC-06:00,16,1.4,1.6,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.271,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,4,5,0,4311870.593,466216.158,2454.593,POINT Z (466216.158 4311870.593 2454.593)
142,142,143,,466214.672,4311871.354,2456.537,,-105.3899213,38.95514573,2442.543,Global,0.012,0.01,0.011,0.016,2.134,m,FIX,2024-07-22 14:00:16.6 UTC-06:00,2024-07-22 14:00:19.6 UTC-06:00,16,1.4,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.076,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,5,5,0,4311870.772000001,466216.337,2454.5389999999998,POINT Z (466216.337 4311870.772000001 2454.5389999999998)
143,143,144,,466214.869,4311871.146,2456.583,,-105.389919,38.95514386,2442.59,Global,0.01,0.01,0.011,0.014,2.134,m,FIX,2024-07-22 14:00:37.2 UTC-06:00,2024-07-22 14:00:40.2 UTC-06:00,16,1.4,1.6,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.266,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,5,5,0,4311870.564,466216.534,2454.585,POINT Z (466216.534 4311870.564 2454.585)
144,144,145,,466214.684,4311871.191,2456.785,,-105.3899211,38.95514426,2442.792,Global,0.011,0.01,0.012,0.015,2.134,m,FIX,2024-07-22 14:01:00.4 UTC-06:00,2024-07-22 14:01:03.4 UTC-06:00,16,1.3,1.6,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.227,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,5,5,0,4311870.609,466216.349,2454.787,POINT Z (466216.349 4311870.609 2454.787)
145,145,146,,466214.746,4311871.186,2456.563,,-105.3899204,38.95514422,2442.57,Global,0.011,0.011,0.012,0.015,2.134,m,FIX,2024-07-22 14:01:26.0 UTC-06:00,2024-07-22 14:01:29.0 UTC-06:00,16,1.3,1.6,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.242,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,5,5,0,4311870.604,466216.41099999996,2454.565,POINT Z (466216.41099999996 4311870.604 2454.565)
146,146,147,,466214.696,4311871.194,2456.77,,-105.389921,38.95514429,2442.777,Global,0.011,0.011,0.012,0.016,2.134,m,FIX,2024-07-22 14:02:21.4 UTC-06:00,2024-07-22 14:02:51.4 UTC-06:00,151,1.4,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.218,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,5,5,0,4311870.612000001,466216.361,2454.772,POINT Z (466216.361 4311870.612000001 2454.772)
147,147,148,,466242.102,4311870.593,2457.375,,-105.3896047,38.95513993,2443.381,Global,0.011,0.011,0.015,0.016,2.134,m,FIX,2024-07-22 14:13:11.6 UTC-06:00,2024-07-22 14:13:41.6 UTC-06:00,151,1.7,2.1,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.505,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,5,5,0,4311870.011000001,466243.767,2455.377,POINT Z (466243.767 4311870.011000001 2455.377)
148,148,149,,466242.079,4311870.601,2457.318,,-105.3896049,38.95514,2443.325,Global,0.01,0.01,0.014,0.014,2.134,m,FIX,2024-07-22 14:14:09.0 UTC-06:00,2024-07-22 14:14:12.0 UTC-06:00,16,1.7,2.1,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.491,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,5,5,0,4311870.019,466243.744,2455.32,POINT Z (466243.744 4311870.019 2455.32)
149,149,150,,466229.278,4311984.585,2455.753,,-105.3897583,38.95616664,2441.76,Global,0.011,0.018,0.014,0.021,2.134,m,FIX,2024-07-22 14:55:14.0 UTC-06:00,2024-07-22 14:55:44.0 UTC-06:00,151,1.7,2.1,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,62.05,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,5,5,0,4311984.0030000005,466230.94299999997,2453.755,POINT Z (466230.94299999997 4311984.0030000005 2453.755)
150,150,151,,466229.266,4311984.572,2455.752,,-105.3897584,38.95616652,2441.76,Global,0.01,0.011,0.013,0.015,2.134,m,FIX,2024-07-22 14:56:47.8 UTC-06:00,2024-07-22 14:56:50.8 UTC-06:00,16,1.7,2.0,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,62.06,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,5,4,0,4311983.99,466230.931,2453.754,POINT Z (466230.931 4311983.99 2453.754)
151,151,152,,466229.304,4311984.42,2455.655,,-105.389758,38.95616516,2441.662,Global,0.01,0.01,0.011,0.015,2.134,m,FIX,2024-07-22 14:57:05.0 UTC-06:00,2024-07-22 14:57:08.0 UTC-06:00,16,1.8,2.2,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,62.216,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,5,5,0,4311983.838,466230.969,2453.657,POINT Z (466230.969 4311983.838 2453.657)
152,152,153,,466229.391,4311984.56,2455.731,,-105.389757,38.95616642,2441.739,Global,0.01,0.011,0.014,0.015,2.134,m,FIX,2024-07-22 14:57:27.0 UTC-06:00,2024-07-22 14:57:30.0 UTC-06:00,16,1.8,2.2,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,62.07,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,5,5,0,4311983.978,466231.056,2453.733,POINT Z (466231.056 4311983.978 2453.733)
153,153,154,,466229.269,4311984.758,2455.699,,-105.3897584,38.9561682,2441.707,Global,0.011,0.012,0.016,0.016,2.134,m,FIX,2024-07-22 14:57:43.0 UTC-06:00,2024-07-22 14:57:46.0 UTC-06:00,16,1.8,2.2,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,61.889,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,5,5,0,4311984.176000001,466230.93399999995,2453.701,POINT Z (466230.93399999995 4311984.176000001 2453.701)
154,154,155,,466229.173,4311984.562,2455.523,,-105.3897595,38.95616643,2441.53,Global,0.01,0.011,0.01,0.015,2.134,m,FIX,2024-07-22 14:57:55.8 UTC-06:00,2024-07-22 14:57:58.8 UTC-06:00,16,1.7,2.0,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,62.113,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,4,5,5,0,4311983.98,466230.838,2453.525,POINT Z (466230.838 4311983.98 2453.525)
155,155,156,,466229.24,4311984.556,2455.658,,-105.3897587,38.95616638,2441.666,Global,0.012,0.011,0.011,0.016,2.134,m,FIX,2024-07-22 14:58:09.4 UTC-06:00,2024-07-22 14:58:12.4 UTC-06:00,16,1.7,2.0,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,62.09,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,5,5,0,4311983.974,466230.90499999997,2453.66,POINT Z (466230.90499999997 4311983.974 2453.66)
156,156,157,,466229.266,4311984.59,2455.741,,-105.3897584,38.95616668,2441.749,Global,0.011,0.011,0.012,0.016,2.134,m,FIX,2024-07-22 14:58:37.0 UTC-06:00,2024-07-22 14:58:40.0 UTC-06:00,16,1.8,2.2,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,62.039,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,5,5,5,0,4311984.008,466230.931,2453.743,POINT Z (466230.931 4311984.008 2453.743)
157,157,158,,466229.132,4311984.56,2455.504,,-105.38976,38.95616642,2441.512,Global,0.011,0.011,0.012,0.015,2.134,m,FIX,2024-07-22 14:59:59.0 UTC-06:00,2024-07-22 15:00:02.0 UTC-06:00,16,1.7,2.0,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,62.119,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,5,5,0,4311983.978,466230.79699999996,2453.506,POINT Z (466230.79699999996 4311983.978 2453.506)
158,158,159,,466228.863,4311984.494,2455.311,,-105.3897631,38.95616581,2441.319,Global,0.01,0.02,0.01,0.023,2.134,m,FIX,2024-07-22 15:00:40.2 UTC-06:00,2024-07-22 15:00:43.2 UTC-06:00,16,1.8,2.1,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,62.239,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,5,5,5,0,4311983.9120000005,466230.528,2453.313,POINT Z (466230.528 4311983.9120000005 2453.313)
159,159,160,,466228.739,4311984.541,2455.262,,-105.3897645,38.95616622,2441.269,Global,0.01,0.01,0.011,0.014,2.134,m,FIX,2024-07-22 15:00:57.0 UTC-06:00,2024-07-22 15:01:00.0 UTC-06:00,16,1.6,2.0,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,62.195,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,5,5,5,0,4311983.959000001,466230.404,2453.264,POINT Z (466230.404 4311983.959000001 2453.264)
160,160,161,,466228.55,4311984.446,2455.128,,-105.3897667,38.95616536,2441.135,Global,0.013,0.01,0.011,0.017,2.134,m,FIX,2024-07-22 15:01:28.2 UTC-06:00,2024-07-22 15:01:31.2 UTC-06:00,16,1.6,2.0,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,62.327,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,5,5,0,4311983.864000001,466230.21499999997,2453.13,POINT Z (466230.21499999997 4311983.864000001 2453.13)
161,161,162,,466228.401,4311984.19,2455.09,,-105.3897684,38.95616305,2441.097,Global,0.011,0.011,0.01,0.015,2.134,m,FIX,2024-07-22 15:01:51.0 UTC-06:00,2024-07-22 15:01:54.0 UTC-06:00,16,1.7,2.1,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,62.578,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,5,5,5,0,4311983.608000001,466230.066,2453.092,POINT Z (466230.066 4311983.608000001 2453.092)
162,162,163,,466228.162,4311984.217,2455.035,,-105.3897711,38.95616328,2441.043,Global,0.01,0.012,0.011,0.016,2.134,m,FIX,2024-07-22 15:02:30.8 UTC-06:00,2024-07-22 15:02:33.8 UTC-06:00,16,1.6,2.0,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,62.574,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,4,5,5,0,4311983.635000001,466229.827,2453.037,POINT Z (466229.827 4311983.635000001 2453.037)
163,163,164,,466227.974,4311984.198,2454.986,,-105.3897733,38.95616311,2440.993,Global,0.01,0.013,0.011,0.016,2.134,m,FIX,2024-07-22 15:02:42.0 UTC-06:00,2024-07-22 15:02:45.0 UTC-06:00,16,1.6,2.0,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,62.617,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,5,5,0,4311983.616,466229.63899999997,2452.988,POINT Z (466229.63899999997 4311983.616 2452.988)
