,index,Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,northing_adj,easting_adj,elevation_adj,geometry
11,11,12,,466240.948,4311870.67,2456.971,,-105.389618,38.95514057,2442.977,Global,0.011,0.011,0.011,0.016,2.134,m,FIX,2024-07-22 13:21:36.8 UTC-06:00,2024-07-22 13:21:39.8 UTC-06:00,16,1.5,1.8,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.387,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,6,5,0,4311870.088,466242.61299999995,2454.973,POINT Z (466242.61299999995 4311870.088 2454.973)
12,12,13,,466240.744,4311870.671,2456.959,,-105.3896203,38.95514058,2442.965,Global,0.011,0.013,0.01,0.017,2.134,m,FIX,2024-07-22 13:21:50.0 UTC-06:00,2024-07-22 13:21:53.0 UTC-06:00,16,1.5,1.8,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.356,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,4,6,5,0,4311870.089000001,466242.409,2454.961,POINT Z (466242.409 4311870.089000001 2454.961)
13,13,14,,466240.537,4311870.682,2456.928,,-105.3896227,38.95514067,2442.934,Global,0.011,0.012,0.01,0.016,2.134,m,FIX,2024-07-22 13:22:03.4 UTC-06:00,2024-07-22 13:22:06.4 UTC-06:00,16,1.5,1.8,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.333,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,5,6,5,0,4311870.100000001,466242.202,2454.93,POINT Z (466242.202 4311870.100000001 2454.93)
14,14,15,,466240.348,4311870.681,2456.934,,-105.3896249,38.95514065,2442.94,Global,0.012,0.011,0.011,0.016,2.134,m,FIX,2024-07-22 13:22:23.6 UTC-06:00,2024-07-22 13:22:26.6 UTC-06:00,16,1.6,2.0,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.33,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,5,6,5,0,4311870.099,466242.013,2454.936,POINT Z (466242.013 4311870.099 2454.936)
15,15,16,,466240.094,4311870.713,2456.526,,-105.3896278,38.95514093,2442.532,Global,0.01,0.011,0.01,0.015,2.134,m,FIX,2024-07-22 13:22:42.4 UTC-06:00,2024-07-22 13:22:45.4 UTC-06:00,16,1.5,1.8,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.316,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,6,5,0,4311870.131000001,466241.75899999996,2454.528,POINT Z (466241.75899999996 4311870.131000001 2454.528)
16,16,17,,466239.964,4311870.7,2456.418,,-105.3896293,38.95514081,2442.425,Global,0.011,0.01,0.011,0.015,2.134,m,FIX,2024-07-22 13:22:59.4 UTC-06:00,2024-07-22 13:23:02.4 UTC-06:00,16,1.5,1.8,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.323,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,4,6,5,0,4311870.118000001,466241.62899999996,2454.42,POINT Z (466241.62899999996 4311870.118000001 2454.42)
17,17,18,,466239.788,4311870.732,2456.333,,-105.3896314,38.95514109,2442.339,Global,0.01,0.01,0.012,0.014,2.134,m,FIX,2024-07-22 13:23:16.8 UTC-06:00,2024-07-22 13:23:19.8 UTC-06:00,16,1.6,2.0,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.289,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,6,5,0,4311870.15,466241.453,2454.335,POINT Z (466241.453 4311870.15 2454.335)
18,18,19,,466239.553,4311870.721,2456.246,,-105.3896341,38.95514098,2442.252,Global,0.011,0.012,0.01,0.016,2.134,m,FIX,2024-07-22 13:23:31.6 UTC-06:00,2024-07-22 13:23:34.6 UTC-06:00,16,1.6,2.0,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.286,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,6,5,0,4311870.139,466241.218,2454.248,POINT Z (466241.218 4311870.139 2454.248)
19,19,20,,466239.322,4311870.739,2456.115,,-105.3896367,38.95514114,2442.121,Global,0.011,0.011,0.01,0.015,2.134,m,FIX,2024-07-22 13:23:47.4 UTC-06:00,2024-07-22 13:23:50.4 UTC-06:00,16,1.5,1.8,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.269,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,6,5,0,4311870.157000001,466240.98699999996,2454.1169999999997,POINT Z (466240.98699999996 4311870.157000001 2454.1169999999997)
20,20,21,,466239.078,4311870.725,2456.067,,-105.3896396,38.955141,2442.073,Global,0.011,0.01,0.012,0.015,2.134,m,FIX,2024-07-22 13:24:05.2 UTC-06:00,2024-07-22 13:24:08.2 UTC-06:00,16,1.5,1.8,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.282,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,5,6,5,0,4311870.143,466240.74299999996,2454.069,POINT Z (466240.74299999996 4311870.143 2454.069)
