Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites
1,,468067.778,4313269.827,2431.998,,-105.36860002,38.96781718,2417.978,Global,0.013,0.012,0.011,0.017,2.134,m,FIX,2024-08-06 09:08:28.4 UTC-06:00,2024-08-06 09:08:58.4 UTC-06:00,151,1.3,1.5,468406.204,4313301.241,2429.384,-105.36469502,38.96811254,2415.356,340.161,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,6,8,4,0
2,,468067.774,4313269.829,2431.990,,-105.36860006,38.96781720,2417.969,Global,0.010,0.013,0.010,0.017,2.134,m,FIX,2024-08-06 09:09:45.4 UTC-06:00,2024-08-06 09:09:48.4 UTC-06:00,16,1.4,1.6,468406.204,4313301.241,2429.384,-105.36469502,38.96811254,2415.356,340.175,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,6,7,4,0
3,,468067.522,4313269.882,2431.999,,-105.36860297,38.96781767,2417.978,Global,0.012,0.013,0.010,0.017,2.134,m,FIX,2024-08-06 09:10:14.8 UTC-06:00,2024-08-06 09:10:17.8 UTC-06:00,16,1.3,1.5,468406.204,4313301.241,2429.384,-105.36469502,38.96811254,2415.356,340.430,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,5,8,4,0
4,,468067.801,4313270.077,2431.755,,-105.36859976,38.96781943,2417.735,Global,0.012,0.012,0.011,0.017,2.134,m,FIX,2024-08-06 09:10:24.6 UTC-06:00,2024-08-06 09:10:27.6 UTC-06:00,16,1.3,1.5,468406.204,4313301.241,2429.384,-105.36469502,38.96811254,2415.356,340.124,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,6,8,4,0
5,,468067.981,4313269.827,2431.925,,-105.36859767,38.96781719,2417.905,Global,0.011,0.013,0.010,0.016,2.134,m,FIX,2024-08-06 09:10:37.6 UTC-06:00,2024-08-06 09:10:40.6 UTC-06:00,16,1.4,1.6,468406.204,4313301.241,2429.384,-105.36469502,38.96811254,2415.356,339.973,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,7,4,0
6,,468067.715,4313269.569,2432.176,,-105.36860073,38.96781485,2418.156,Global,0.016,0.012,0.010,0.020,2.134,m,FIX,2024-08-06 09:10:47.8 UTC-06:00,2024-08-06 09:10:50.8 UTC-06:00,16,1.4,1.6,468406.204,4313301.241,2429.384,-105.36469502,38.96811254,2415.356,340.255,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,6,7,4,0
7,,468067.738,4313269.836,2431.935,,-105.36860047,38.96781726,2417.915,Global,0.014,0.012,0.011,0.018,2.134,m,FIX,2024-08-06 09:10:58.0 UTC-06:00,2024-08-06 09:11:01.0 UTC-06:00,16,1.4,1.6,468406.204,4313301.241,2429.384,-105.36469502,38.96811254,2415.356,340.219,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,5,7,4,0
8,,468067.780,4313269.840,2431.993,,-105.36860000,38.96781729,2417.973,Global,0.010,0.011,0.010,0.015,2.134,m,FIX,2024-08-06 09:11:07.6 UTC-06:00,2024-08-06 09:11:10.6 UTC-06:00,16,1.4,1.6,468406.204,4313301.241,2429.384,-105.36469502,38.96811254,2415.356,340.170,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,5,7,4,0
9,,468067.771,4313270.098,2431.774,,-105.36860011,38.96781962,2417.753,Global,0.014,0.012,0.010,0.018,2.134,m,FIX,2024-08-06 09:11:47.2 UTC-06:00,2024-08-06 09:11:50.2 UTC-06:00,16,1.4,1.6,468406.204,4313301.241,2429.384,-105.36469502,38.96811254,2415.356,340.165,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,5,7,4,0
10,,468067.776,4313270.309,2431.634,,-105.36860006,38.96782153,2417.613,Global,0.010,0.012,0.010,0.015,2.134,m,FIX,2024-08-06 09:11:57.0 UTC-06:00,2024-08-06 09:12:00.0 UTC-06:00,16,1.4,1.6,468406.204,4313301.241,2429.384,-105.36469502,38.96811254,2415.356,340.128,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,5,7,4,0
