point,easting,northing,elevationj,code
918,4328385.785,988239.823,2406.989,tr
919,4328385.963,988239.748,2407.006,tr
920,4328386.145,988239.658,2407.024,tr
921,4328386.304,988239.583,2407.031,tr
922,4328386.46,988239.434,2407.051,tr
923,4328386.631,988239.289,2407.033,tr
924,4328386.812,988239.195,2407.015,tr
925,4328386.996,988239.126,2407.02,tr
926,4328387.194,988239.084,2407.047,tr
927,4328387.385,988238.992,2407.037,tr
928,4328387.53,988238.844,2407.039,tr
929,4328387.729,988238.759,2407.015,tr
930,4328387.893,988238.694,2407.003,tr
931,4328388.076,988238.61,2406.967,tr
932,4328388.287,988238.592,2406.951,tr
933,4328388.475,988238.507,2406.941,tr
934,4328388.643,988238.387,2406.909,tr
935,4328388.803,988238.311,2406.879,tr
936,4328389.004,988238.214,2406.912,tr
937,4328389.163,988238.148,2406.915,tr
938,4328389.37,988238.059,2406.905,tr
939,4328389.578,988238.024,2406.875,tr
940,4328389.719,988237.87,2406.907,tr
941,4328389.917,988237.817,2406.895,tr
942,4328390.076,988237.716,2406.899,tr
943,4328390.281,988237.626,2406.857,tr
944,4328390.452,988237.506,2406.802,tr
945,4328390.628,988237.453,2406.801,tr
946,4328390.843,988237.389,2406.791,tr
947,4328391.004,988237.273,2406.8,tr
948,4328391.174,988237.185,2406.816,tr
949,4328391.374,988237.14,2406.775,tr
950,4328391.537,988237.063,2406.861,tr
951,4328391.716,988236.943,2406.929,tr
952,4328391.915,988236.883,2406.979,tr
953,4328392.102,988236.783,2407.007,tr
954,4328392.261,988236.689,2407.075,tr
955,4328392.449,988236.604,2407.087,tr
956,4328392.625,988236.529,2407.121,tr
957,4328392.74,988236.498,2407.131,tr
958,4328392.837,988236.466,2407.152,tr
959,4328393.029,988236.333,2407.676,tr
960,4328393.15,988236.275,2407.707,tr
961,4328393.34,988236.187,2407.745,tr
962,4328393.499,988236.103,2407.733,tr
963,4328393.649,988236.034,2407.792,tr
347,4328394.056,988235.842,2407.835,tr
348,4328394.503,988235.609,2407.885,tr
349,4328394.89,988235.41,2407.814,tr
350,4328395.336,988235.216,2407.781,tr
351,4328395.755,988235.036,2407.814,tr
352,4328396.184,988234.847,2407.704,tr
353,4328396.565,988234.643,2407.708,tr
354,4328396.827,988234.51,2407.695,tr
355,4328397.405,988234.244,2407.684,tr
356,4328397.891,988234.013,2407.663,tr
357,4328398.451,988233.763,2407.66,tr
358,4328399.106,988233.459,2407.609,tr
359,4328399.66,988233.202,2407.521,tr
360,4328400.094,988232.996,2407.523,tr
361,4328400.588,988232.776,2407.507,tr
362,4328401.045,988232.552,2407.507,tr
363,4328401.464,988232.337,2407.525,tr
364,4328401.874,988232.174,2407.525,tr
365,4328402.315,988231.927,2407.562,tr
366,4328402.939,988231.649,2407.559,tr
367,4328403.443,988231.428,2407.599,tr
368,4328403.903,988231.19,2407.586,tr
369,4328404.405,988230.923,2407.562,tr
370,4328404.994,988230.637,2407.561,tr
371,4328405.547,988230.402,2407.568,tr
372,4328406.02,988230.185,2407.503,tr
373,4328406.572,988229.911,2407.512,tr
374,4328407.108,988229.715,2407.467,tr
375,4328407.694,988229.459,2407.502,tr
376,4328408.114,988229.183,2407.469,tr
377,4328408.592,988228.902,2407.447,tr
378,4328409.086,988228.638,2407.563,tr
379,4328409.708,988228.409,2407.607,tr
380,4328410.206,988228.236,2407.674,tr
381,4328410.73,988227.971,2407.595,tr
382,4328411.075,988227.805,2407.88,tr
383,4328411.621,988227.545,2407.938,tr
384,4328412.122,988227.267,2407.98,tr
385,4328412.497,988226.938,2408.048,tr
386,4328413.04,988226.659,2408.195,tr
387,4328413.024,988226.654,2408.202,tr
388,4328413.606,988226.322,2408.296,tr
389,4328414.117,988226.131,2408.333,tr
390,4328414.459,988225.885,2408.434,tr
new_nb_dn_2,4328414.629,988225.751,2408.48,ctl_new
new_nb_dn_1,4328393.512,988203.659,2408.533,ctl_new
391,4328392.99,988203.816,2408.43,tr
392,4328392.455,988203.878,2408.367,tr
393,4328391.674,988204.006,2408.321,tr
394,4328392.093,988203.988,2408.358,tr
395,4328391.26,988204.167,2408.268,tr
396,4328390.625,988204.295,2408.23,tr
397,4328390.035,988204.394,2408.222,tr
398,4328389.407,988204.54,2408.215,tr
399,4328388.934,988204.632,2408.128,tr
400,4328388.484,988204.723,2408.166,tr
401,4328387.939,988204.8,2408.19,tr
402,4328387.365,988204.925,2408.2,tr
403,4328386.583,988204.984,2408.252,tr
404,4328386.034,988205.105,2408.219,tr
405,4328385.418,988205.213,2408.194,tr
406,4328384.811,988205.307,2408.264,tr
407,4328384.242,988205.357,2408.23,tr
408,4328383.739,988205.45,2408.218,tr
409,4328383.06,988205.551,2408.164,tr
410,4328382.518,988205.619,2408.162,tr
411,4328381.991,988205.655,2408.181,tr
412,4328381.449,988205.727,2408.17,tr
413,4328380.918,988205.797,2408.145,tr
414,4328380.744,988205.801,2408.146,tr
964,4328380.301,988205.82,2408.081,tr
965,4328380.11,988205.838,2408.056,tr
966,4328379.907,988205.919,2407.972,tr
967,4328379.685,988205.97,2407.93,tr
968,4328379.528,988205.983,2408.009,tr
969,4328379.326,988206.041,2407.951,tr
970,4328379.142,988206.073,2407.906,tr
