number,point,easting,northing,elevationj,code,date,reach,transect,point_type,nb_sb,notes
1826,2065,4327128.57,986259.585,2437.918,tr,7/13/2023,ref,3,topo,,
1827,2066,4327128.689,986259.409,2437.87,tr,7/13/2023,ref,3,topo,,
1828,2067,4327128.837,986259.26,2437.856,tr,7/13/2023,ref,3,topo,,
1829,2068,4327128.955,986259.125,2437.86,tr,7/13/2023,ref,3,topo,,
1830,2069,4327129.107,986258.971,2437.849,tr,7/13/2023,ref,3,topo,,
1831,2070,4327129.239,986258.84,2437.843,tr,7/13/2023,ref,3,topo,,
1832,2071,4327129.394,986258.709,2437.834,tr,7/13/2023,ref,3,topo,,
1833,2072,4327129.573,986258.582,2437.824,tr,7/13/2023,ref,3,topo,,
1834,2073,4327129.66,986258.408,2437.893,tr,7/13/2023,ref,3,topo,,
1835,2074,4327129.804,986258.287,2437.931,tr,7/13/2023,ref,3,topo,,
1836,2075,4327129.983,986258.168,2438.051,tr,7/13/2023,ref,3,topo,,
1837,2076,4327130.105,986257.996,2438.082,tr,7/13/2023,ref,3,topo,,
1838,2077,4327130.261,986257.834,2438.141,tr,7/13/2023,ref,3,topo,,
1839,2078,4327130.376,986257.677,2438.158,tr,7/13/2023,ref,3,topo,,
1840,2079,4327130.491,986257.556,2438.204,tr,7/13/2023,ref,3,topo,,
1841,2080,4327130.671,986257.423,2438.285,tr,7/13/2023,ref,3,topo,,
1842,2081,4327130.794,986257.28,2438.333,tr,7/13/2023,ref,3,topo,,
1843,2082,4327130.957,986257.133,2438.382,tr,7/13/2023,ref,3,topo,,
1844,2083,4327131.075,986256.977,2438.436,tr,7/13/2023,ref,3,topo,,
1845,2084,4327131.249,986256.851,2438.524,tr,7/13/2023,ref,3,topo,,
1846,2085,4327131.345,986256.778,2438.667,tr,7/13/2023,ref,3,topo,,
1847,2086,4327131.373,986256.721,2438.696,tr,7/13/2023,ref,3,topo,,
1848,2087,4327131.555,986256.594,2438.77,tr,7/13/2023,ref,3,topo,,
1849,2088,4327131.683,986256.417,2438.875,tr,7/13/2023,ref,3,topo,,
1850,2089,4327131.774,986256.294,2439.074,tr,7/13/2023,ref,3,topo,,
1851,2090,4327131.938,986256.168,2439.157,tr,7/13/2023,ref,3,topo,,
1852,2091,4327132.076,986256.022,2439.235,tr,7/13/2023,ref,3,topo,,
1853,2092,4327132.212,986255.874,2439.283,tr,7/13/2023,ref,3,topo,,
1854,2093,4327132.363,986255.734,2439.327,tr,7/13/2023,ref,3,topo,,
