"label","estimate_km3","ci_lo_km3","ci_hi_km3"
"ex",1.81136679731404,1.10892626637899,2.01656712803354
"hist",3.53897485114415,2.30671912323453,3.91389429045906
"sed_2025",2.7396984241303,1.14629960810182,13.6042207820488
