Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites
1,,468388.039,4313370.122,2422.698,,-105.36490788,38.96873258,2408.672,Global,0.010,0.011,0.011,0.015,1.734,m,FIX,RTK,2025-07-11 10:51:48.2 UTC-06:00,2025-07-11 10:52:18.2 UTC-06:00,151,1.0,1.2,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,72.565,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0
2,,468388.041,4313370.117,2422.700,,-105.36490786,38.96873254,2408.674,Global,0.011,0.010,0.010,0.015,1.734,m,FIX,RTK,2025-07-11 10:52:44.6 UTC-06:00,2025-07-11 10:52:47.6 UTC-06:00,16,1.1,1.2,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,72.556,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0
3,,468388.041,4313370.022,2422.517,,-105.36490786,38.96873168,2408.491,Global,0.010,0.010,0.010,0.015,1.734,m,FIX,RTK,2025-07-11 10:52:57.4 UTC-06:00,2025-07-11 10:53:00.4 UTC-06:00,16,1.1,1.2,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,72.475,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0
4,,468387.903,4313370.186,2422.531,,-105.36490946,38.96873315,2408.505,Global,0.010,0.010,0.010,0.015,1.734,m,FIX,RTK,2025-07-11 10:53:13.2 UTC-06:00,2025-07-11 10:53:16.2 UTC-06:00,16,1.1,1.2,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,72.668,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0
5,,468388.123,4313370.268,2422.542,,-105.36490692,38.96873389,2408.515,Global,0.010,0.010,0.010,0.014,1.734,m,FIX,RTK,2025-07-11 10:53:23.4 UTC-06:00,2025-07-11 10:53:26.4 UTC-06:00,16,1.1,1.2,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,72.688,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0
6,,468388.219,4313370.077,2422.548,,-105.36490580,38.96873218,2408.522,Global,0.011,0.011,0.010,0.015,1.734,m,FIX,RTK,2025-07-11 10:53:33.2 UTC-06:00,2025-07-11 10:53:36.2 UTC-06:00,16,1.1,1.2,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,72.485,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0
7,,468388.041,4313370.117,2422.699,,-105.36490786,38.96873254,2408.673,Global,0.010,0.010,0.010,0.014,1.734,m,FIX,RTK,2025-07-11 10:53:45.8 UTC-06:00,2025-07-11 10:53:48.8 UTC-06:00,16,1.1,1.2,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,72.555,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0
8,,468387.885,4313370.251,2422.535,,-105.36490967,38.96873373,2408.509,Global,0.010,0.010,0.010,0.015,1.734,m,FIX,RTK,2025-07-11 10:54:04.8 UTC-06:00,2025-07-11 10:54:07.8 UTC-06:00,16,1.1,1.2,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,72.731,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0
9,,468387.690,4313370.303,2422.503,,-105.36491192,38.96873419,2408.476,Global,0.010,0.010,0.010,0.015,1.734,m,FIX,RTK,2025-07-11 10:54:17.0 UTC-06:00,2025-07-11 10:54:20.0 UTC-06:00,16,1.1,1.2,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,72.838,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0
10,,468387.520,4313370.365,2422.395,,-105.36491389,38.96873475,2408.369,Global,0.012,0.011,0.010,0.016,1.734,m,FIX,RTK,2025-07-11 10:54:32.0 UTC-06:00,2025-07-11 10:54:35.0 UTC-06:00,16,1.2,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,72.948,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0
11,,468387.338,4313370.427,2422.280,,-105.36491599,38.96873530,2408.253,Global,0.010,0.012,0.010,0.016,1.734,m,FIX,RTK,2025-07-11 10:54:42.4 UTC-06:00,2025-07-11 10:54:45.4 UTC-06:00,16,1.2,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,73.075,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0
12,,468387.257,4313370.500,2422.167,,-105.36491693,38.96873595,2408.141,Global,0.010,0.011,0.010,0.015,1.734,m,FIX,RTK,2025-07-11 10:55:11.0 UTC-06:00,2025-07-11 10:55:14.0 UTC-06:00,16,1.2,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,73.165,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0
13,,468387.179,4313370.556,2422.064,,-105.36491784,38.96873646,2408.038,Global,0.011,0.010,0.010,0.015,1.734,m,FIX,RTK,2025-07-11 10:55:24.2 UTC-06:00,2025-07-11 10:55:27.2 UTC-06:00,16,1.1,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,73.251,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0
14,,468387.038,4313370.532,2421.829,,-105.36491946,38.96873624,2407.803,Global,0.010,0.011,0.011,0.015,1.734,m,FIX,RTK,2025-07-11 10:55:44.0 UTC-06:00,2025-07-11 10:55:47.0 UTC-06:00,16,1.1,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,73.281,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0
15,,468386.814,4313370.604,2421.809,,-105.36492205,38.96873688,2407.783,Global,0.010,0.010,0.010,0.014,1.734,m,FIX,RTK,2025-07-11 10:56:33.2 UTC-06:00,2025-07-11 10:56:36.2 UTC-06:00,16,1.1,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,73.419,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0
16,,468386.653,4313370.659,2421.826,,-105.36492391,38.96873737,2407.800,Global,0.012,0.015,0.010,0.019,1.734,m,FIX,RTK,2025-07-11 10:56:41.6 UTC-06:00,2025-07-11 10:56:44.6 UTC-06:00,16,1.1,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,73.505,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0
17,,468386.474,4313370.736,2421.826,,-105.36492598,38.96873806,2407.800,Global,0.010,0.010,0.010,0.014,1.734,m,FIX,RTK,2025-07-11 10:56:54.0 UTC-06:00,2025-07-11 10:56:57.0 UTC-06:00,16,1.1,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,73.643,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0
18,,468386.308,4313370.787,2421.837,,-105.36492790,38.96873851,2407.811,Global,0.010,0.012,0.010,0.016,1.734,m,FIX,RTK,2025-07-11 10:57:06.4 UTC-06:00,2025-07-11 10:57:09.4 UTC-06:00,16,1.1,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,73.731,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,9,5,8,6,0
19,,468386.122,4313370.884,2421.793,,-105.36493005,38.96873937,2407.767,Global,0.011,0.011,0.010,0.015,1.734,m,FIX,RTK,2025-07-11 10:57:16.6 UTC-06:00,2025-07-11 10:57:19.6 UTC-06:00,16,1.1,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,73.884,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,9,5,8,6,0
20,,468385.945,4313370.934,2421.752,,-105.36493209,38.96873982,2407.726,Global,0.011,0.010,0.010,0.015,1.734,m,FIX,RTK,2025-07-11 10:57:27.8 UTC-06:00,2025-07-11 10:57:30.8 UTC-06:00,16,1.1,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,73.984,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,9,5,8,6,0
21,,468385.700,4313371.040,2421.731,,-105.36493493,38.96874077,2407.705,Global,0.010,0.012,0.010,0.016,1.734,m,FIX,RTK,2025-07-11 10:57:47.8 UTC-06:00,2025-07-11 10:57:50.8 UTC-06:00,16,1.1,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,74.158,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,9,5,8,6,0
22,,468385.525,4313371.163,2421.697,,-105.36493696,38.96874187,2407.671,Global,0.010,0.010,0.010,0.015,1.734,m,FIX,RTK,2025-07-11 10:57:59.6 UTC-06:00,2025-07-11 10:58:02.6 UTC-06:00,16,1.1,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,74.337,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0
23,,468385.345,4313371.208,2421.644,,-105.36493903,38.96874227,2407.618,Global,0.010,0.011,0.010,0.015,1.734,m,FIX,RTK,2025-07-11 10:58:11.0 UTC-06:00,2025-07-11 10:58:14.0 UTC-06:00,16,1.1,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,74.431,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0
24,,468385.167,4313371.268,2421.609,,-105.36494109,38.96874281,2407.583,Global,0.012,0.012,0.010,0.017,1.734,m,FIX,RTK,2025-07-11 10:58:20.8 UTC-06:00,2025-07-11 10:58:23.8 UTC-06:00,16,1.1,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,74.559,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0
25,,468384.953,4313371.356,2421.564,,-105.36494356,38.96874359,2407.538,Global,0.010,0.013,0.010,0.016,1.734,m,FIX,RTK,2025-07-11 10:58:31.6 UTC-06:00,2025-07-11 10:58:34.6 UTC-06:00,16,1.1,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,74.684,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0
26,,468384.802,4313371.456,2421.544,,-105.36494531,38.96874448,2407.518,Global,0.013,0.011,0.011,0.017,1.734,m,FIX,RTK,2025-07-11 10:58:42.6 UTC-06:00,2025-07-11 10:58:45.6 UTC-06:00,16,1.1,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,74.846,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0
27,,468384.608,4313371.517,2421.504,,-105.36494756,38.96874503,2407.478,Global,0.010,0.010,0.010,0.014,1.734,m,FIX,RTK,2025-07-11 10:58:55.0 UTC-06:00,2025-07-11 10:58:58.0 UTC-06:00,16,1.1,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,74.968,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0
28,,468384.408,4313371.581,2421.455,,-105.36494987,38.96874560,2407.429,Global,0.011,0.011,0.010,0.015,1.734,m,FIX,RTK,2025-07-11 10:59:05.6 UTC-06:00,2025-07-11 10:59:08.6 UTC-06:00,16,1.1,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,75.092,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0
29,,468384.291,4313371.703,2421.427,,-105.36495122,38.96874670,2407.401,Global,0.015,0.011,0.010,0.018,1.734,m,FIX,RTK,2025-07-11 11:00:49.2 UTC-06:00,2025-07-11 11:00:52.2 UTC-06:00,16,1.2,1.4,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,75.250,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0
30,,468384.034,4313371.732,2421.397,,-105.36495419,38.96874694,2407.371,Global,0.011,0.011,0.010,0.016,1.734,m,FIX,RTK,2025-07-11 11:00:58.2 UTC-06:00,2025-07-11 11:01:01.2 UTC-06:00,16,1.2,1.4,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,75.351,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0
31,,468383.860,4313371.865,2421.364,,-105.36495620,38.96874814,2407.337,Global,0.010,0.010,0.011,0.015,1.734,m,FIX,RTK,2025-07-11 11:01:06.6 UTC-06:00,2025-07-11 11:01:09.6 UTC-06:00,16,1.2,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,75.537,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0
32,,468383.690,4313371.873,2421.317,,-105.36495816,38.96874820,2407.291,Global,0.012,0.011,0.011,0.017,1.734,m,FIX,RTK,2025-07-11 11:01:14.8 UTC-06:00,2025-07-11 11:01:17.8 UTC-06:00,16,1.2,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,75.599,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0
33,,468383.460,4313371.988,2421.319,,-105.36496082,38.96874923,2407.293,Global,0.013,0.010,0.011,0.016,1.734,m,FIX,RTK,2025-07-11 11:01:23.8 UTC-06:00,2025-07-11 11:01:26.8 UTC-06:00,16,1.2,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,75.782,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0
34,,468383.289,4313372.055,2421.290,,-105.36496280,38.96874983,2407.264,Global,0.011,0.011,0.010,0.016,1.734,m,FIX,RTK,2025-07-11 11:01:32.4 UTC-06:00,2025-07-11 11:01:35.4 UTC-06:00,16,1.2,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,75.896,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0
35,,468383.105,4313372.139,2421.269,,-105.36496493,38.96875058,2407.243,Global,0.011,0.011,0.010,0.016,1.734,m,FIX,RTK,2025-07-11 11:01:41.4 UTC-06:00,2025-07-11 11:01:44.4 UTC-06:00,16,1.2,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,76.050,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0
36,,468382.902,4313372.207,2421.247,,-105.36496728,38.96875118,2407.221,Global,0.010,0.010,0.010,0.015,1.734,m,FIX,RTK,2025-07-11 11:01:52.6 UTC-06:00,2025-07-11 11:01:55.6 UTC-06:00,16,1.2,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,76.175,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0
37,,468382.781,4313372.241,2421.225,,-105.36496867,38.96875148,2407.199,Global,0.011,0.010,0.010,0.015,1.734,m,FIX,RTK,2025-07-11 11:02:02.4 UTC-06:00,2025-07-11 11:02:05.4 UTC-06:00,16,1.2,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,76.248,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0
38,,468382.569,4313372.265,2421.211,,-105.36497113,38.96875169,2407.184,Global,0.012,0.014,0.010,0.019,1.734,m,FIX,RTK,2025-07-11 11:02:12.2 UTC-06:00,2025-07-11 11:02:15.2 UTC-06:00,16,1.2,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,76.342,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0
39,,468382.371,4313372.399,2421.183,,-105.36497342,38.96875289,2407.157,Global,0.012,0.011,0.010,0.016,1.734,m,FIX,RTK,2025-07-11 11:02:23.0 UTC-06:00,2025-07-11 11:02:26.0 UTC-06:00,16,1.2,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,76.538,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0
40,,468382.166,4313372.460,2421.166,,-105.36497579,38.96875344,2407.140,Global,0.011,0.010,0.010,0.015,1.734,m,FIX,RTK,2025-07-11 11:02:32.4 UTC-06:00,2025-07-11 11:02:35.4 UTC-06:00,16,1.2,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,76.670,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0
41,,468381.936,4313372.509,2421.139,,-105.36497844,38.96875387,2407.113,Global,0.012,0.011,0.010,0.016,1.734,m,FIX,RTK,2025-07-11 11:02:47.8 UTC-06:00,2025-07-11 11:02:50.8 UTC-06:00,16,1.2,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,76.787,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0
42,,468381.766,4313372.571,2421.097,,-105.36498041,38.96875442,2407.071,Global,0.010,0.011,0.010,0.015,1.734,m,FIX,RTK,2025-07-11 11:03:04.0 UTC-06:00,2025-07-11 11:03:07.0 UTC-06:00,16,1.2,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,76.913,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0
43,,468381.583,4313372.698,2421.073,,-105.36498252,38.96875556,2407.047,Global,0.015,0.011,0.010,0.018,1.734,m,FIX,RTK,2025-07-11 11:03:18.2 UTC-06:00,2025-07-11 11:03:21.2 UTC-06:00,16,1.2,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,77.099,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0
44,,468381.394,4313372.764,2421.089,,-105.36498471,38.96875615,2407.063,Global,0.017,0.011,0.010,0.020,1.734,m,FIX,RTK,2025-07-11 11:03:34.0 UTC-06:00,2025-07-11 11:03:37.0 UTC-06:00,16,1.2,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,77.225,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0
45,,468381.305,4313372.900,2420.995,,-105.36498574,38.96875737,2406.969,Global,0.010,0.011,0.014,0.015,1.734,m,FIX,RTK,2025-07-11 11:10:19.4 UTC-06:00,2025-07-11 11:10:22.4 UTC-06:00,16,1.1,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,77.383,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,9,6,0
46,,468381.153,4313372.968,2420.976,,-105.36498751,38.96875798,2406.949,Global,0.011,0.010,0.011,0.015,1.734,m,FIX,RTK,2025-07-11 11:10:41.2 UTC-06:00,2025-07-11 11:10:44.2 UTC-06:00,16,1.1,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,77.493,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,9,6,0
47,,468381.032,4313373.098,2420.970,,-105.36498891,38.96875914,2406.944,Global,0.011,0.011,0.010,0.016,1.734,m,FIX,RTK,2025-07-11 11:11:02.4 UTC-06:00,2025-07-11 11:11:05.4 UTC-06:00,16,1.1,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,77.671,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,9,6,0
48,,468380.791,4313373.139,2420.951,,-105.36499169,38.96875951,2406.924,Global,0.010,0.011,0.010,0.015,1.734,m,FIX,RTK,2025-07-11 11:11:18.8 UTC-06:00,2025-07-11 11:11:21.8 UTC-06:00,16,1.2,1.4,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,77.790,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,9,5,0
49,,468380.575,4313373.229,2420.905,,-105.36499418,38.96876031,2406.879,Global,0.015,0.012,0.010,0.019,1.734,m,FIX,RTK,2025-07-11 11:11:36.6 UTC-06:00,2025-07-11 11:11:39.6 UTC-06:00,16,1.2,1.4,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,77.938,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,9,5,0
