,index,Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,northing_adj,easting_adj,elevation_adj,geometry
10,10,11,,468387.338,4313370.427,2422.28,,-105.36491599,38.9687353,2408.253,Global,0.01,0.012,0.01,0.016,1.734,m,FIX,RTK,2025-07-11 10:54:42.4 UTC-06:00,2025-07-11 10:54:45.4 UTC-06:00,16,1.2,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,73.075,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0,4313369.3440000005,468388.426,2418.9300000000003,POINT Z (468388.426 4313369.3440000005 2418.9300000000003)
11,11,12,,468387.257,4313370.5,2422.167,,-105.36491693,38.96873595,2408.141,Global,0.01,0.011,0.01,0.015,1.734,m,FIX,RTK,2025-07-11 10:55:11.0 UTC-06:00,2025-07-11 10:55:14.0 UTC-06:00,16,1.2,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,73.165,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0,4313369.417,468388.345,2418.817,POINT Z (468388.345 4313369.417 2418.817)
12,12,13,,468387.179,4313370.556,2422.064,,-105.36491784,38.96873646,2408.038,Global,0.011,0.01,0.01,0.015,1.734,m,FIX,RTK,2025-07-11 10:55:24.2 UTC-06:00,2025-07-11 10:55:27.2 UTC-06:00,16,1.1,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,73.251,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0,4313369.473,468388.267,2418.714,POINT Z (468388.267 4313369.473 2418.714)
13,13,14,,468387.038,4313370.532,2421.829,,-105.36491946,38.96873624,2407.803,Global,0.01,0.011,0.011,0.015,1.734,m,FIX,RTK,2025-07-11 10:55:44.0 UTC-06:00,2025-07-11 10:55:47.0 UTC-06:00,16,1.1,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,73.281,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0,4313369.449,468388.126,2418.4790000000003,POINT Z (468388.126 4313369.449 2418.4790000000003)
14,14,15,,468386.814,4313370.604,2421.809,,-105.36492205,38.96873688,2407.783,Global,0.01,0.01,0.01,0.014,1.734,m,FIX,RTK,2025-07-11 10:56:33.2 UTC-06:00,2025-07-11 10:56:36.2 UTC-06:00,16,1.1,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,73.419,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0,4313369.521000001,468387.902,2418.4590000000003,POINT Z (468387.902 4313369.521000001 2418.4590000000003)
15,15,16,,468386.653,4313370.659,2421.826,,-105.36492391,38.96873737,2407.8,Global,0.012,0.015,0.01,0.019,1.734,m,FIX,RTK,2025-07-11 10:56:41.6 UTC-06:00,2025-07-11 10:56:44.6 UTC-06:00,16,1.1,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,73.505,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0,4313369.576,468387.741,2418.476,POINT Z (468387.741 4313369.576 2418.476)
16,16,17,,468386.474,4313370.736,2421.826,,-105.36492598,38.96873806,2407.8,Global,0.01,0.01,0.01,0.014,1.734,m,FIX,RTK,2025-07-11 10:56:54.0 UTC-06:00,2025-07-11 10:56:57.0 UTC-06:00,16,1.1,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,73.643,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0,4313369.653,468387.562,2418.476,POINT Z (468387.562 4313369.653 2418.476)
17,17,18,,468386.308,4313370.787,2421.837,,-105.3649279,38.96873851,2407.811,Global,0.01,0.012,0.01,0.016,1.734,m,FIX,RTK,2025-07-11 10:57:06.4 UTC-06:00,2025-07-11 10:57:09.4 UTC-06:00,16,1.1,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,73.731,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,9,5,8,6,0,4313369.704,468387.396,2418.487,POINT Z (468387.396 4313369.704 2418.487)
18,18,19,,468386.122,4313370.884,2421.793,,-105.36493005,38.96873937,2407.767,Global,0.011,0.011,0.01,0.015,1.734,m,FIX,RTK,2025-07-11 10:57:16.6 UTC-06:00,2025-07-11 10:57:19.6 UTC-06:00,16,1.1,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,73.884,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,9,5,8,6,0,4313369.801,468387.20999999996,2418.443,POINT Z (468387.20999999996 4313369.801 2418.443)
19,19,20,,468385.945,4313370.934,2421.752,,-105.36493209,38.96873982,2407.726,Global,0.011,0.01,0.01,0.015,1.734,m,FIX,RTK,2025-07-11 10:57:27.8 UTC-06:00,2025-07-11 10:57:30.8 UTC-06:00,16,1.1,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,73.984,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,9,5,8,6,0,4313369.851000001,468387.033,2418.402,POINT Z (468387.033 4313369.851000001 2418.402)
