,index,Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,northing_adj,easting_adj,elevation_adj,geometry
0,0,1,,466251.221,4312191.264,2456.637,,-105.38951523,38.95802992,2442.646,Global,0.01,0.01,0.01,0.014,1.734,m,FIX,RTK,2025-07-16 10:02:15.0 UTC-06:00,2025-07-16 10:02:18.0 UTC-06:00,16,1.1,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,147.595,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,7,7,7,0,4312189.913000001,466252.826,2453.222,POINT Z (466252.826 4312189.913000001 2453.222)
1,1,2,,466251.22,4312191.261,2456.632,,-105.38951525,38.95802989,2442.641,Global,0.011,0.01,0.012,0.015,1.734,m,FIX,RTK,2025-07-16 10:02:31.6 UTC-06:00,2025-07-16 10:03:01.6 UTC-06:00,151,1.1,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,147.6,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312189.91,466252.82499999995,2453.217,POINT Z (466252.82499999995 4312189.91 2453.217)
2,2,3,,466251.129,4312191.137,2456.604,,-105.38951628,38.95802877,2442.613,Global,0.01,0.01,0.011,0.014,1.734,m,FIX,RTK,2025-07-16 10:03:16.4 UTC-06:00,2025-07-16 10:03:19.4 UTC-06:00,16,1.1,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,147.461,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312189.786,466252.734,2453.189,POINT Z (466252.734 4312189.786 2453.189)
3,3,4,,466251.097,4312191.373,2456.606,,-105.38951667,38.95803089,2442.615,Global,0.01,0.012,0.011,0.016,1.734,m,FIX,RTK,2025-07-16 10:03:29.4 UTC-06:00,2025-07-16 10:03:32.4 UTC-06:00,16,1.1,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,147.684,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312190.022,466252.702,2453.1910000000003,POINT Z (466252.702 4312190.022 2453.1910000000003)
4,4,5,,466251.381,4312191.377,2456.614,,-105.38951339,38.95803094,2442.624,Global,0.011,0.01,0.01,0.015,1.734,m,FIX,RTK,2025-07-16 10:03:46.8 UTC-06:00,2025-07-16 10:03:49.8 UTC-06:00,16,1.1,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,147.736,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312190.026000001,466252.986,2453.199,POINT Z (466252.986 4312190.026000001 2453.199)
5,5,6,,466251.333,4312191.125,2456.627,,-105.38951393,38.95802867,2442.636,Global,0.011,0.011,0.01,0.015,1.734,m,FIX,RTK,2025-07-16 10:03:58.6 UTC-06:00,2025-07-16 10:04:01.6 UTC-06:00,16,1.1,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,147.474,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312189.774,466252.93799999997,2453.212,POINT Z (466252.93799999997 4312189.774 2453.212)
6,6,7,,466251.22,4312191.261,2456.645,,-105.38951524,38.95802989,2442.654,Global,0.01,0.01,0.01,0.014,1.734,m,FIX,RTK,2025-07-16 10:04:09.2 UTC-06:00,2025-07-16 10:04:12.2 UTC-06:00,16,1.1,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,147.591,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312189.91,466252.82499999995,2453.23,POINT Z (466252.82499999995 4312189.91 2453.23)
7,7,8,,466251.109,4312191.401,2456.595,,-105.38951653,38.95803114,2442.604,Global,0.01,0.01,0.011,0.014,1.734,m,FIX,RTK,2025-07-16 10:04:39.2 UTC-06:00,2025-07-16 10:04:42.2 UTC-06:00,16,1.1,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,147.719,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312190.05,466252.714,2453.18,POINT Z (466252.714 4312190.05 2453.18)
8,8,9,,466251.005,4312191.57,2456.531,,-105.38951774,38.95803266,2442.541,Global,0.01,0.012,0.01,0.016,1.734,m,FIX,RTK,2025-07-16 10:04:53.0 UTC-06:00,2025-07-16 10:04:56.0 UTC-06:00,16,1.1,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,147.874,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312190.2190000005,466252.61,2453.116,POINT Z (466252.61 4312190.2190000005 2453.116)
9,9,10,,466250.866,4312191.696,2456.507,,-105.38951935,38.9580338,2442.516,Global,0.011,0.011,0.011,0.015,1.734,m,FIX,RTK,2025-07-16 10:05:06.8 UTC-06:00,2025-07-16 10:05:09.8 UTC-06:00,16,1.1,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,147.982,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312190.345000001,466252.47099999996,2453.092,POINT Z (466252.47099999996 4312190.345000001 2453.092)
