,index,Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,northing_adj,easting_adj,elevation_adj,geometry
10,10,11,,466250.711,4312191.846,2456.518,,-105.38952114,38.95803514,2442.527,Global,0.011,0.01,0.012,0.015,1.734,m,FIX,RTK,2025-07-16 10:05:16.0 UTC-06:00,2025-07-16 10:05:19.0 UTC-06:00,16,1.1,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,148.111,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312190.495,466252.316,2453.103,POINT Z (466252.316 4312190.495 2453.103)
11,11,12,,466250.584,4312192.012,2456.484,,-105.38952262,38.95803663,2442.493,Global,0.011,0.011,0.012,0.015,1.734,m,FIX,RTK,2025-07-16 10:05:26.2 UTC-06:00,2025-07-16 10:05:29.2 UTC-06:00,16,1.1,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,148.255,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312190.661,466252.18899999995,2453.069,POINT Z (466252.18899999995 4312190.661 2453.069)
12,12,13,,466250.452,4312192.123,2456.459,,-105.38952415,38.95803762,2442.468,Global,0.012,0.01,0.013,0.016,1.734,m,FIX,RTK,2025-07-16 10:05:37.6 UTC-06:00,2025-07-16 10:05:40.6 UTC-06:00,16,1.1,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,148.351,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312190.772,466252.057,2453.044,POINT Z (466252.057 4312190.772 2453.044)
13,13,14,,466250.307,4312192.304,2456.383,,-105.38952583,38.95803926,2442.392,Global,0.011,0.01,0.01,0.015,1.734,m,FIX,RTK,2025-07-16 10:05:55.0 UTC-06:00,2025-07-16 10:05:58.0 UTC-06:00,16,1.1,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,148.52,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312190.953,466251.91199999995,2452.968,POINT Z (466251.91199999995 4312190.953 2452.968)
14,14,15,,466250.175,4312192.437,2456.316,,-105.38952737,38.95804045,2442.326,Global,0.01,0.01,0.012,0.015,1.734,m,FIX,RTK,2025-07-16 10:06:08.2 UTC-06:00,2025-07-16 10:06:11.2 UTC-06:00,16,1.1,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,148.636,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312191.086,466251.77999999997,2452.901,POINT Z (466251.77999999997 4312191.086 2452.901)
15,15,16,,466250.048,4312192.6,2456.266,,-105.38952884,38.95804191,2442.275,Global,0.011,0.01,0.011,0.015,1.734,m,FIX,RTK,2025-07-16 10:06:24.0 UTC-06:00,2025-07-16 10:06:27.0 UTC-06:00,16,1.1,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,148.789,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312191.249,466251.653,2452.851,POINT Z (466251.653 4312191.249 2452.851)
16,16,17,,466249.941,4312192.676,2456.246,,-105.38953008,38.95804259,2442.256,Global,0.011,0.011,0.011,0.016,1.734,m,FIX,RTK,2025-07-16 10:06:39.0 UTC-06:00,2025-07-16 10:06:42.0 UTC-06:00,16,1.1,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,148.861,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312191.325,466251.546,2452.831,POINT Z (466251.546 4312191.325 2452.831)
17,17,18,,466249.757,4312192.857,2456.035,,-105.38953221,38.95804422,2442.044,Global,0.01,0.01,0.011,0.014,1.734,m,FIX,RTK,2025-07-16 10:07:09.8 UTC-06:00,2025-07-16 10:07:12.8 UTC-06:00,16,1.1,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,149.025,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312191.506,466251.36199999996,2452.62,POINT Z (466251.36199999996 4312191.506 2452.62)
18,18,19,,466249.606,4312192.997,2456.005,,-105.38953395,38.95804547,2442.014,Global,0.01,0.01,0.011,0.014,1.734,m,FIX,RTK,2025-07-16 10:07:22.4 UTC-06:00,2025-07-16 10:07:25.4 UTC-06:00,16,1.1,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,149.148,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312191.646000001,466251.211,2452.59,POINT Z (466251.211 4312191.646000001 2452.59)
19,19,20,,466249.458,4312193.14,2455.937,,-105.38953567,38.95804675,2441.946,Global,0.01,0.01,0.011,0.014,1.734,m,FIX,RTK,2025-07-16 10:07:44.8 UTC-06:00,2025-07-16 10:07:47.8 UTC-06:00,16,1.1,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,149.275,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312191.789,466251.06299999997,2452.522,POINT Z (466251.06299999997 4312191.789 2452.522)
20,20,21,,466249.338,4312193.286,2455.948,,-105.38953706,38.95804806,2441.957,Global,0.01,0.01,0.01,0.014,1.734,m,FIX,RTK,2025-07-16 10:07:58.2 UTC-06:00,2025-07-16 10:08:01.2 UTC-06:00,16,1.1,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,149.405,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312191.9350000005,466250.94299999997,2452.533,POINT Z (466250.94299999997 4312191.9350000005 2452.533)
21,21,22,,466249.189,4312193.481,2455.931,,-105.38953879,38.95804982,2441.94,Global,0.01,0.01,0.01,0.014,1.734,m,FIX,RTK,2025-07-16 10:08:15.4 UTC-06:00,2025-07-16 10:08:18.4 UTC-06:00,16,1.1,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,149.58,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312192.13,466250.794,2452.516,POINT Z (466250.794 4312192.13 2452.516)
22,22,23,,466249.071,4312193.6,2455.946,,-105.38954017,38.95805088,2441.955,Global,0.012,0.011,0.01,0.016,1.734,m,FIX,RTK,2025-07-16 10:08:26.0 UTC-06:00,2025-07-16 10:08:29.0 UTC-06:00,16,1.1,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,149.677,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312192.249,466250.676,2452.531,POINT Z (466250.676 4312192.249 2452.531)
23,23,24,,466248.952,4312193.754,2455.904,,-105.38954154,38.95805226,2441.914,Global,0.01,0.01,0.011,0.014,1.734,m,FIX,RTK,2025-07-16 10:08:37.2 UTC-06:00,2025-07-16 10:08:40.2 UTC-06:00,16,1.1,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,149.821,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312192.403,466250.557,2452.489,POINT Z (466250.557 4312192.403 2452.489)
24,24,25,,466248.821,4312193.919,2455.834,,-105.38954306,38.95805375,2441.844,Global,0.01,0.01,0.01,0.015,1.734,m,FIX,RTK,2025-07-16 10:08:47.8 UTC-06:00,2025-07-16 10:08:50.8 UTC-06:00,16,1.0,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,149.976,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312192.568,466250.426,2452.419,POINT Z (466250.426 4312192.568 2452.419)
25,25,26,,466248.667,4312194.035,2455.823,,-105.38954485,38.95805479,2441.833,Global,0.01,0.01,0.01,0.015,1.734,m,FIX,RTK,2025-07-16 10:08:56.6 UTC-06:00,2025-07-16 10:08:59.6 UTC-06:00,16,1.0,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,150.071,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312192.684,466250.272,2452.408,POINT Z (466250.272 4312192.684 2452.408)
26,26,27,,466248.502,4312194.206,2455.81,,-105.38954676,38.95805632,2441.819,Global,0.01,0.011,0.01,0.015,1.734,m,FIX,RTK,2025-07-16 10:09:11.8 UTC-06:00,2025-07-16 10:09:14.8 UTC-06:00,16,1.0,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,150.223,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312192.855,466250.10699999996,2452.395,POINT Z (466250.10699999996 4312192.855 2452.395)
27,27,28,,466248.388,4312194.333,2455.8,,-105.38954808,38.95805746,2441.809,Global,0.011,0.01,0.01,0.015,1.734,m,FIX,RTK,2025-07-16 10:09:19.6 UTC-06:00,2025-07-16 10:09:22.6 UTC-06:00,16,1.1,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,150.334,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312192.982,466249.99299999996,2452.385,POINT Z (466249.99299999996 4312192.982 2452.385)
28,28,29,,466248.242,4312194.453,2455.794,,-105.38954977,38.95805854,2441.803,Global,0.01,0.01,0.01,0.015,1.734,m,FIX,RTK,2025-07-16 10:09:28.0 UTC-06:00,2025-07-16 10:09:31.0 UTC-06:00,16,1.0,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,150.434,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312193.102,466249.847,2452.379,POINT Z (466249.847 4312193.102 2452.379)
29,29,30,,466248.143,4312194.59,2455.791,,-105.38955092,38.95805977,2441.801,Global,0.012,0.01,0.01,0.016,1.734,m,FIX,RTK,2025-07-16 10:09:38.0 UTC-06:00,2025-07-16 10:09:41.0 UTC-06:00,16,1.0,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,150.559,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312193.239,466249.74799999996,2452.376,POINT Z (466249.74799999996 4312193.239 2452.376)
30,30,31,,466247.963,4312194.716,2455.79,,-105.389553,38.9580609,2441.799,Global,0.01,0.01,0.011,0.014,1.734,m,FIX,RTK,2025-07-16 10:09:47.4 UTC-06:00,2025-07-16 10:09:50.4 UTC-06:00,16,1.0,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,150.663,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312193.365,466249.56799999997,2452.375,POINT Z (466249.56799999997 4312193.365 2452.375)
31,31,32,,466247.824,4312194.88,2455.795,,-105.38955462,38.95806237,2441.805,Global,0.01,0.01,0.01,0.014,1.734,m,FIX,RTK,2025-07-16 10:09:56.8 UTC-06:00,2025-07-16 10:09:59.8 UTC-06:00,16,1.0,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,150.809,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312193.529,466249.429,2452.38,POINT Z (466249.429 4312193.529 2452.38)
32,32,33,,466247.665,4312195.009,2455.785,,-105.38955646,38.95806353,2441.794,Global,0.01,0.01,0.01,0.014,1.734,m,FIX,RTK,2025-07-16 10:10:05.6 UTC-06:00,2025-07-16 10:10:08.6 UTC-06:00,16,1.0,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,150.917,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312193.658,466249.26999999996,2452.37,POINT Z (466249.26999999996 4312193.658 2452.37)
33,33,34,,466247.561,4312195.139,2455.772,,-105.38955767,38.9580647,2441.781,Global,0.011,0.011,0.011,0.015,1.734,m,FIX,RTK,2025-07-16 10:10:14.8 UTC-06:00,2025-07-16 10:10:17.8 UTC-06:00,16,1.0,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,151.035,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312193.788000001,466249.16599999997,2452.357,POINT Z (466249.16599999997 4312193.788000001 2452.357)
34,34,35,,466247.387,4312195.262,2455.783,,-105.38955968,38.9580658,2441.793,Global,0.01,0.011,0.01,0.015,1.734,m,FIX,RTK,2025-07-16 10:10:24.0 UTC-06:00,2025-07-16 10:10:27.0 UTC-06:00,16,1.0,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,151.139,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312193.911,466248.99199999997,2452.368,POINT Z (466248.99199999997 4312193.911 2452.368)
35,35,36,,466247.227,4312195.402,2455.785,,-105.38956153,38.95806705,2441.795,Global,0.011,0.01,0.01,0.015,1.734,m,FIX,RTK,2025-07-16 10:10:34.8 UTC-06:00,2025-07-16 10:10:37.8 UTC-06:00,16,1.0,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,151.257,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312194.051,466248.832,2452.37,POINT Z (466248.832 4312194.051 2452.37)
36,36,37,,466247.101,4312195.529,2455.834,,-105.38956299,38.95806819,2441.843,Global,0.01,0.01,0.01,0.014,1.734,m,FIX,RTK,2025-07-16 10:10:44.2 UTC-06:00,2025-07-16 10:10:47.2 UTC-06:00,16,1.0,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,151.363,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312194.178,466248.706,2452.419,POINT Z (466248.706 4312194.178 2452.419)
37,37,38,,466246.934,4312195.676,2455.844,,-105.38956492,38.9580695,2441.854,Global,0.01,0.01,0.01,0.014,1.734,m,FIX,RTK,2025-07-16 10:11:00.4 UTC-06:00,2025-07-16 10:11:03.4 UTC-06:00,16,1.0,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,151.489,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312194.325,466248.539,2452.429,POINT Z (466248.539 4312194.325 2452.429)
38,38,39,,466246.783,4312195.811,2455.79,,-105.38956668,38.95807072,2441.799,Global,0.01,0.01,0.01,0.015,1.734,m,FIX,RTK,2025-07-16 10:11:10.6 UTC-06:00,2025-07-16 10:11:13.6 UTC-06:00,16,1.0,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,151.608,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312194.46,466248.388,2452.375,POINT Z (466248.388 4312194.46 2452.375)
39,39,40,,466246.625,4312195.958,2455.766,,-105.38956851,38.95807203,2441.775,Global,0.018,0.011,0.01,0.021,1.734,m,FIX,RTK,2025-07-16 10:11:17.8 UTC-06:00,2025-07-16 10:11:20.8 UTC-06:00,16,1.0,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,151.739,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312194.607,466248.23,2452.351,POINT Z (466248.23 4312194.607 2452.351)
40,40,41,,466246.467,4312196.101,2455.73,,-105.38957034,38.95807332,2441.74,Global,0.012,0.011,0.01,0.016,1.734,m,FIX,RTK,2025-07-16 10:11:25.6 UTC-06:00,2025-07-16 10:11:28.6 UTC-06:00,16,1.0,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,151.87,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312194.75,466248.072,2452.315,POINT Z (466248.072 4312194.75 2452.315)
41,41,42,,466246.32,4312196.252,2455.71,,-105.38957204,38.95807468,2441.719,Global,0.01,0.01,0.01,0.014,1.734,m,FIX,RTK,2025-07-16 10:11:40.6 UTC-06:00,2025-07-16 10:11:43.6 UTC-06:00,16,1.0,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,152.008,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312194.901000001,466247.925,2452.295,POINT Z (466247.925 4312194.901000001 2452.295)
42,42,43,,466246.141,4312196.387,2455.718,,-105.38957411,38.95807588,2441.728,Global,0.01,0.01,0.01,0.014,1.734,m,FIX,RTK,2025-07-16 10:11:50.6 UTC-06:00,2025-07-16 10:11:53.6 UTC-06:00,16,1.0,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,152.122,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,0,0,4312195.036,466247.746,2452.303,POINT Z (466247.746 4312195.036 2452.303)
43,43,44,,466246.345,4312196.755,2455.709,,-105.38957178,38.95807921,2441.718,Global,0.012,0.011,0.011,0.016,1.734,m,FIX,RTK,2025-07-16 10:12:15.0 UTC-06:00,2025-07-16 10:12:18.0 UTC-06:00,16,1.0,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,152.506,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312195.404,466247.94999999995,2452.294,POINT Z (466247.94999999995 4312195.404 2452.294)
44,44,45,,466246.21,4312196.941,2455.761,,-105.38957334,38.95808088,2441.771,Global,0.012,0.014,0.01,0.018,1.734,m,FIX,RTK,2025-07-16 10:12:27.0 UTC-06:00,2025-07-16 10:12:30.0 UTC-06:00,16,1.0,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,152.668,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312195.59,466247.815,2452.346,POINT Z (466247.815 4312195.59 2452.346)
45,45,46,,466246.097,4312197.093,2455.694,,-105.38957466,38.95808225,2441.703,Global,0.011,0.011,0.01,0.015,1.734,m,FIX,RTK,2025-07-16 10:12:40.6 UTC-06:00,2025-07-16 10:12:43.6 UTC-06:00,16,1.1,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,152.825,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312195.742000001,466247.702,2452.279,POINT Z (466247.702 4312195.742000001 2452.279)
46,46,47,,466245.953,4312197.208,2455.666,,-105.38957633,38.95808328,2441.676,Global,0.011,0.01,0.01,0.015,1.734,m,FIX,RTK,2025-07-16 10:12:52.2 UTC-06:00,2025-07-16 10:12:55.2 UTC-06:00,16,1.1,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,152.92,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312195.857,466247.55799999996,2452.251,POINT Z (466247.55799999996 4312195.857 2452.251)
47,47,48,,466245.823,4312197.368,2455.641,,-105.38957783,38.95808471,2441.651,Global,0.011,0.014,0.011,0.018,1.734,m,FIX,RTK,2025-07-16 10:13:10.2 UTC-06:00,2025-07-16 10:13:13.2 UTC-06:00,16,1.1,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,153.067,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312196.017,466247.42799999996,2452.226,POINT Z (466247.42799999996 4312196.017 2452.226)
48,48,49,,466245.74,4312197.607,2455.512,,-105.3895788,38.95808686,2441.521,Global,0.01,0.01,0.01,0.014,1.734,m,FIX,RTK,2025-07-16 10:13:32.2 UTC-06:00,2025-07-16 10:13:35.2 UTC-06:00,16,1.1,1.3,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,153.31,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312196.256,466247.345,2452.097,POINT Z (466247.345 4312196.256 2452.097)
49,49,50,,466245.563,4312197.733,2455.475,,-105.38958085,38.95808799,2441.485,Global,0.01,0.01,0.01,0.015,1.734,m,FIX,RTK,2025-07-16 10:13:49.6 UTC-06:00,2025-07-16 10:13:52.6 UTC-06:00,16,1.1,1.3,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,153.423,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,7,7,0,4312196.382,466247.168,2452.06,POINT Z (466247.168 4312196.382 2452.06)
50,50,51,,466245.405,4312197.895,2455.441,,-105.38958268,38.95808945,2441.45,Global,0.011,0.013,0.014,0.018,1.734,m,FIX,RTK,2025-07-16 10:14:08.2 UTC-06:00,2025-07-16 10:14:11.2 UTC-06:00,16,1.1,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,153.576,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,4312196.544,466247.01,2452.026,POINT Z (466247.01 4312196.544 2452.026)
51,51,52,,466245.327,4312197.913,2455.459,,-105.38958358,38.9580896,2441.469,Global,0.01,0.01,0.01,0.015,1.734,m,FIX,RTK,2025-07-16 10:14:25.0 UTC-06:00,2025-07-16 10:14:28.0 UTC-06:00,16,1.1,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,153.578,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,4312196.562,466246.932,2452.044,POINT Z (466246.932 4312196.562 2452.044)
52,52,53,,466245.165,4312198.13,2455.477,,-105.38958547,38.95809155,2441.487,Global,0.01,0.01,0.01,0.015,1.734,m,FIX,RTK,2025-07-16 10:14:38.0 UTC-06:00,2025-07-16 10:14:41.0 UTC-06:00,16,1.1,1.2,466230.237,4312045.952,2472.344,-105.38975024,38.95671967,2458.352,153.772,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,4312196.779,466246.76999999996,2452.062,POINT Z (466246.76999999996 4312196.779 2452.062)
