Name,Code,Easting,Northing,OriginalElevation ,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,
15,,466250.157,4312191.864,2455.138,2435.138,,-105.3895275,38.95803528,2441.147,Global,0.021,0.012,0.01,0.024,1.934,m,FIX,2025-03-31 10:49:09.4 UTC-06:00,2025-03-31 10:49:12.4 UTC-06:00,16,1,1.2,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,148.464,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,
16,,466250.055,4312192.044,2455.061,2435.061,,-105.3895287,38.9580369,2441.07,Global,0.01,0.012,0.011,0.016,1.934,m,FIX,2025-03-31 10:49:18.6 UTC-06:00,2025-03-31 10:49:21.6 UTC-06:00,16,1,1.2,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,148.632,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,
17,,466249.934,4312192.198,2455.003,2435.003,,-105.3895301,38.95803829,2441.012,Global,0.018,0.015,0.01,0.023,1.934,m,FIX,2025-03-31 10:49:28.4 UTC-06:00,2025-03-31 10:49:31.4 UTC-06:00,16,1,1.2,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,148.784,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,
18,,466249.735,4312192.302,2454.94,2434.94,,-105.3895324,38.95803921,2440.949,Global,0.02,0.011,0.01,0.023,1.934,m,FIX,2025-03-31 10:49:42.0 UTC-06:00,2025-03-31 10:49:45.0 UTC-06:00,16,1.1,1.3,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,148.867,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,
19,,466249.691,4312192.504,2454.814,2434.814,,-105.389533,38.95804104,2440.824,Global,0.019,0.011,0.01,0.022,1.934,m,FIX,2025-03-31 10:49:56.2 UTC-06:00,2025-03-31 10:49:59.2 UTC-06:00,16,1,1.2,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,149.076,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,
20,,466249.498,4312192.633,2454.714,2434.714,,-105.3895352,38.95804218,2440.723,Global,0.012,0.011,0.011,0.017,1.934,m,FIX,2025-03-31 10:50:24.4 UTC-06:00,2025-03-31 10:50:27.4 UTC-06:00,16,1,1.2,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,149.187,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,
21,,466249.314,4312192.814,2454.681,2434.681,,-105.3895373,38.95804381,2440.69,Global,0.01,0.011,0.01,0.015,1.934,m,FIX,2025-03-31 10:50:49.0 UTC-06:00,2025-03-31 10:50:52.0 UTC-06:00,16,1,1.2,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,149.332,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,8,6,0,
22,,466249.232,4312192.956,2454.67,2434.67,,-105.3895383,38.95804508,2440.679,Global,0.012,0.012,0.011,0.017,1.934,m,FIX,2025-03-31 10:51:04.6 UTC-06:00,2025-03-31 10:51:07.6 UTC-06:00,16,1,1.2,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,149.463,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,8,6,0,
23,,466249.131,4312193.126,2454.66,2434.66,,-105.3895394,38.95804661,2440.669,Global,0.011,0.011,0.01,0.015,1.934,m,FIX,2025-03-31 10:51:30.6 UTC-06:00,2025-03-31 10:51:33.6 UTC-06:00,16,1,1.2,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,149.626,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,
24,,466249.019,4312193.278,2454.631,2434.631,,-105.3895407,38.95804798,2440.64,Global,0.011,0.011,0.01,0.016,1.934,m,FIX,2025-03-31 10:51:40.6 UTC-06:00,2025-03-31 10:51:43.6 UTC-06:00,16,1,1.2,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,149.756,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,
