siteID,labno,dateOn,dateOff,yrmonth,ph,Conduc,flagCa,Ca,flagMg,Mg,flagK,K,flagNa,Na,flagNH4,NH4,flagNO3,NO3,flagCl,Cl,flagSO4,SO4,flagBr,Br,svol,ppt,subppt,valcode,invalcode,modifiedOn
CO21,NA0654OW,"1979-04-17 16:00","1979-04-24 16:00",197904,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,.000,.000,.000,"d ","            ",1985-11-20
CO21,NA0700OW,"1979-04-24 16:00","1979-05-01 15:00",197904,6.250,40.600," ",2.080," ",.295," ",.159," ",1.832," ",1.710," ",5.750," ",.680," ",6.530,0,-9,27.200,.760,.760,wa,"            ",1985-06-04
CO21,NA0717OW,"1979-05-01 15:00","1979-05-08 15:00",197905,5.120,7.900," ",.240," ",.034," ",.012," ",.132," ",.080," ",1.000," ",.070," ",1.000,0,-9,904.000,18.290,18.290,"w ","            ",1985-06-04
CO21,NA0754OW,"1979-05-08 15:00","1979-05-15 15:00",197905,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,.000,.000,.000,"d ","            ",1985-11-20
CO21,NA0817OW,"1979-05-15 15:00","1979-05-22 15:00",197905,5.360,8.100," ",.260," ",.059," ",.019," ",.205," ",.200," ",1.000," ",.070," ",1.350,0,-9,559.000,13.970,13.970,"w ","            ",1985-06-04
CO21,NA0821OW,"1979-05-22 15:00","1979-05-29 15:00",197905,6.610,24.900," ",1.020," ",.136," ",.025," ",3.151," ",.400," ",3.000," ",.280," ",5.200,0,-9,200.000,3.560,3.560,"w ","            ",1985-05-17
CO21,NA0842OW,"1979-05-29 15:00","1979-06-05 15:00",197906,4.800,10.000," ",.170," ",.030," ",.015," ",.118," ",.050," ",1.020," ",.100," ",1.000,0,-9,984.500,11.430,11.430,"w ","            ",1985-06-04
CO21,NA0894OW,"1979-06-05 15:00","1979-06-12 15:00",197906,6.020,8.500," ",.710," ",.074," ",.061," ",.100," ",.120," ",1.100," ",.170," ",1.450,0,-9,2190.000,33.270,33.270,"w ","            ",1985-06-04
CO21,NA0893OW,"1979-06-12 15:00","1979-06-19 15:00",197906,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,5.800,.000,.000,"d ","            ",1985-06-06
CO21,NA1001OW,"1979-06-19 15:00","1979-07-03 15:00",197906,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,313.000,5.330,5.330,"  ","e           ",1988-09-19
CO21,NA1005OW,"1979-07-03 15:00","1979-07-10 15:00",197907,5.310,16.700," ",.620," ",.119," ",.097," ",.952," ",.450," ",2.610," ",.200," ",2.800,0,-9,673.500,11.430,11.430,"w ","            ",1985-06-04
CO21,NA1051OW,"1979-07-10 15:00","1979-07-17 15:00",197907,5.110,19.000," ",.720," ",.081," ",.152," ",1.232," ",.400," ",2.930," ",.350," ",3.050,0,-9,806.000,12.190,12.190,"w ","            ",1985-06-04
CO21,NA1086OW,"1979-07-17 15:00","1979-07-24 15:00",197907,4.370,28.200," ",.560," ",.087," ",.096," ",.082," ",.580," ",3.350," ",.220," ",3.200,0,-9,951.500,13.970,13.970,"w ","            ",1985-06-04
CO21,NA1101OW,"1979-07-24 15:00","1979-07-31 15:00",197907,5.060,11.200," ",.550," ",.098," ",.058," ",.100," ",.290," ",1.850," ",.100," ",1.730,0,-9,1009.000,17.530,17.530,"w ","            ",1985-06-04
CO21,NA1256OW,"1979-07-31 15:00","1979-08-28 15:00",197908,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000," ",-9.000,0,-9,2908.500,46.990,46.990,"  ","e           ",1989-06-13
CO21,NA1260OW,"1979-08-28 15:00","1979-09-04 15:00",197908,-9.000,-9.000,<,-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000,<,-9.000,<,-9.000,<,-9.000,0,-9,.000,.000,.000,"d ","            ",1985-11-20
CO21,NA1392OW,"1979-09-04 16:00","1979-09-11 16:00",197909,6.440,41.000," ",2.340," ",.262," ",.165," ",4.267," ",.620," ",5.820," ",.420," ",10.200,0,-9,50.500,2.540,2.540,"w ","            ",1985-06-04
CO21,NA1388OW,"1979-09-11 16:00","1979-09-25 16:00",197909,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,1100.000,18.800,18.800,"  ","e           ",1988-09-19
CO21,N@0083OW,"1979-09-25 00:00","1979-10-02 00:00",197909,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,-9.000,-9.990,-9.990,"  ","np          ",1985-05-17
CO21,NA1409OW,"1979-10-02 16:00","1979-10-09 16:00",197910,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,11.200,.760,.760,"  ","v           ",1985-06-06
CO21,NA1459OW,"1979-10-09 16:00","1979-10-16 16:00",197910,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,.000,.000,.000,"d ","            ",1985-11-20
CO21,NA1495OW,"1979-10-16 16:00","1979-10-23 15:00",197910,5.690,4.700," ",.150," ",.017," ",.040," ",.206," ",.040," ",.720,<,.050," ",.550,0,-9,993.500,17.530,17.530,"w ","            ",1985-06-04
CO21,NA1554OW,"1979-10-23 15:00","1979-10-30 16:00",197910,4.720,11.500," ",.130," ",.021," ",.015," ",.302," ",.030," ",1.620," ",.080," ",.700,0,-9,199.000,14.990,14.990,"w ","            ",1985-06-04
CO21,NA1559OW,"1979-10-30 16:00","1979-11-06 16:00",197911,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000," ",-9.000," ",-9.000,<,-9.000,0,-9,.000,.000,.000,"d ","            ",1985-11-20
CO21,NA1597OW,"1979-11-06 16:00","1979-11-13 16:00",197911,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000,0,-9,.000,2.540,2.540,"  ","v           ",1985-11-20
CO21,NA1723OW,"1979-11-13 16:00","1979-11-21 16:00",197911,5.070,5.500," ",.060," ",.012," ",.015," ",.009,<,.020," ",.600,<,.050," ",.400,0,-9,494.400,19.300,19.300,"w ","            ",1985-06-04
CO21,NA1651OW,"1979-11-21 16:00","1979-11-27 16:00",197911,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,6.700,2.540,2.540,"  ","v           ",1985-06-06
CO21,NA1725OW,"1979-11-27 16:00","1979-12-04 16:00",197911,-9.000,-9.000,<,-9.000,<,-9.000," ",-9.000," ",-9.000,<,-9.000,<,-9.000," ",-9.000," ",-9.000,0,-9,.000,.000,.000,"d ","            ",1985-11-20
CO21,NA1724OW,"1979-12-04 16:00","1979-12-11 16:00",197912,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000," ",-9.000,0,-9,.000,.000,.000,"d ","            ",1985-11-20
CO21,NA1823OW,"1979-12-11 16:00","1979-12-18 16:00",197912,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,.000,.000,.000,"d ","            ",1986-02-01
